"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930237120 s,1,1,1,0,1,0,1,0,1,1,1,0
-8.190930246240 s,1,0,1,0,0,0,0,0,0,1,1,0
-8.189930254400 s,1,0,0,0,0,1,1,1,0,0,1,0
-8.188930263040 s,1,1,0,1,0,0,0,0,0,0,1,0
-8.187930271360 s,1,1,0,0,1,0,0,1,1,1,0,0
-8.186930280080 s,0,1,0,1,0,0,0,1,1,1,0,0
-8.185930288080 s,1,1,1,1,0,1,1,1,1,1,0,0
-8.184930296640 s,0,0,1,1,1,1,0,1,0,0,1,0
-8.183930305120 s,1,1,1,0,1,0,1,1,1,0,1,0
-8.182930314160 s,0,0,1,0,0,1,0,0,1,1,1,0
-8.181930322480 s,1,0,1,1,1,1,1,0,0,0,0,1
-8.180930330960 s,1,0,1,1,0,0,1,1,1,0,0,1
-8.179930339680 s,0,0,1,0,0,1,1,1,0,1,0,1
-8.178930347840 s,1,0,0,1,0,1,0,1,1,1,0,1
-8.177930356880 s,1,0,0,1,0,0,0,0,0,0,1,1
-8.176930364240 s,0,1,0,1,1,1,1,1,1,1,0,1
-8.175930372960 s,1,0,1,1,1,1,1,0,1,1,0,1
-8.174930382080 s,1,1,0,0,0,1,0,1,0,1,0,1
-8.173930390320 s,1,1,0,1,1,1,1,0,1,0,0,1
-8.172930399600 s,0,0,0,1,0,1,0,0,0,0,0,1
-8.171930407600 s,0,0,0,0,1,0,1,1,0,1,1,0
-8.170930416000 s,1,0,1,1,0,0,0,1,1,0,1,0
-8.169930425040 s,0,0,1,0,0,0,0,1,0,0,1,0
-8.168930432800 s,0,1,1,1,0,0,1,1,1,1,0,0
-8.167930441840 s,1,0,1,0,0,0,0,1,1,1,0,0
-8.166930450320 s,1,1,0,0,0,1,0,1,1,1,0,0
-8.165930458640 s,0,1,1,0,1,1,0,0,0,0,1,0
-8.164930467360 s,0,0,1,0,0,1,0,0,1,0,1,0
-8.163930475760 s,0,0,0,1,1,0,1,0,0,1,1,0
-8.162930483680 s,1,1,0,1,0,1,0,1,1,1,1,0
-8.161930493120 s,1,0,1,0,0,0,0,0,1,0,0,1
-8.160930501440 s,1,1,0,0,0,0,1,0,0,1,0,1
-8.159930509600 s,1,0,0,1,1,1,0,0,1,1,0,1
-8.158930517680 s,0,0,1,1,1,0,1,1,1,1,0,1
-8.157930526960 s,1,1,0,0,1,0,0,0,0,0,1,1
-8.156930535040 s,0,0,0,1,1,0,1,1,1,1,0,1
-8.155930543680 s,0,1,0,0,1,1,0,0,1,1,0,1
-8.154930552240 s,1,0,1,0,1,1,0,0,0,1,0,1
-8.153930560560 s,1,0,0,1,1,1,1,1,0,0,0,1
-8.152930569360 s,0,1,0,0,0,1,0,1,1,1,1,0
-8.151930578000 s,1,1,0,1,0,0,1,0,0,1,1,0
-8.150930586480 s,1,1,0,1,1,0,0,0,1,0,1,0
-8.149930594880 s,1,1,1,1,0,1,0,0,0,0,1,0
-8.148930603440 s,1,1,0,0,0,1,0,1,1,1,0,0
-8.147930612320 s,1,0,0,0,0,0,0,1,1,1,0,0
-8.146930620480 s,1,1,0,0,1,0,1,1,1,1,0,0
-8.145930629120 s,0,1,0,1,0,0,0,1,0,0,1,0
-8.144930637440 s,1,0,1,0,1,0,0,1,1,0,1,0
-8.143930645680 s,1,1,0,1,1,0,1,1,0,1,1,0
-8.142930654720 s,1,1,0,0,1,1,0,0,0,0,0,1
-8.141930663120 s,1,0,0,1,0,0,0,1,1,0,0,1
-8.140930671600 s,1,1,0,1,0,1,0,1,0,1,0,1
-8.139930680240 s,0,0,0,1,0,0,0,1,1,1,0,1
-8.138930688880 s,1,0,0,0,0,0,0,0,0,0,1,1
-8.137930697200 s,0,1,0,1,0,0,0,0,0,0,1,1
-8.136930705680 s,0,0,1,0,0,1,0,1,1,1,0,1
-8.135930714080 s,1,0,0,1,1,0,1,1,0,1,0,1
-8.134930722640 s,0,1,0,0,0,0,1,1,1,0,0,1
-8.133930731200 s,1,1,0,0,1,1,1,0,0,0,0,1
-8.132930739440 s,1,0,0,1,1,0,0,0,1,1,1,0
-8.131930747840 s,1,1,1,1,0,0,1,1,1,0,1,0
-8.130930756640 s,1,0,1,0,1,1,0,1,0,0,1,0
-8.129930764720 s,1,1,0,1,0,1,1,1,1,1,0,0
-8.128930773680 s,0,1,0,1,0,0,0,1,1,1,0,0
-8.127930782000 s,1,0,1,0,1,0,0,1,1,1,0,0
-8.126930790880 s,1,1,1,1,0,0,0,0,0,0,1,0
