"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930824560 s,0,0,0,0,0,0,0,0,0,1,1,0
-8.190930832160 s,1,1,1,0,0,1,1,1,0,1,1,0
-8.189930841280 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.188930848880 s,1,1,0,0,1,0,1,1,1,1,1,0
-8.187930858160 s,0,0,0,0,0,0,0,0,0,1,1,0
-8.186930866080 s,1,0,1,0,0,1,1,1,0,1,1,0
-8.185930875280 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.184930882400 s,1,1,1,1,1,0,1,1,1,1,1,0
-8.183930891680 s,0,0,0,0,0,0,0,0,1,1,1,0
-8.182930899920 s,1,0,1,0,0,1,1,1,0,1,1,0
-8.181930909040 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.180930916240 s,1,1,0,1,1,1,1,1,1,1,1,0
-8.179930925680 s,0,0,0,0,0,0,0,0,1,1,1,0
-8.178930933760 s,0,1,0,0,0,1,1,1,0,1,1,0
-8.177930942560 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.176930949920 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.175930959440 s,0,0,0,0,0,0,0,0,1,1,1,0
-8.174930967280 s,0,1,0,0,0,1,1,1,0,1,1,0
-8.173930976320 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.172930983600 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.171930993360 s,0,0,0,0,0,0,0,0,1,1,1,0
-8.170931001280 s,1,1,0,0,0,1,1,1,0,1,1,0
-8.169931010160 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.168931017120 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.167931026720 s,0,0,0,0,0,0,0,0,1,1,1,0
-8.166931034960 s,0,1,0,0,0,1,1,1,0,1,1,0
-8.165931044160 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.164931050960 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.163931060560 s,0,0,0,0,1,0,0,0,1,1,1,0
-8.162931068640 s,1,1,0,0,0,1,1,1,0,1,1,0
-8.161931077760 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.160931084880 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.159931094400 s,0,0,0,0,0,0,1,0,1,1,1,0
-8.158931102400 s,1,1,0,0,0,1,1,1,0,1,1,0
-8.157931111680 s,1,0,0,0,0,0,0,0,0,0,0,0
-8.156931118400 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.155931128000 s,0,0,0,0,0,0,1,0,1,1,1,0
-8.154931136160 s,1,1,1,0,0,1,1,1,0,1,1,0
-8.153931145360 s,1,0,0,0,0,0,0,0,0,0,0,0
-8.152931152400 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.151931161600 s,0,0,1,1,0,0,1,0,1,1,1,0
-8.150931169840 s,0,0,0,1,0,1,1,1,0,1,1,0
-8.149931179040 s,1,0,0,0,0,0,0,0,0,0,0,0
-8.148931186240 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.147931195600 s,0,0,0,0,0,1,1,0,1,1,1,0
-8.146931203520 s,1,1,0,1,0,1,1,1,0,1,1,0
-8.145931212560 s,1,0,0,0,0,0,0,0,0,0,0,0
-8.144931219840 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.143931229440 s,0,0,0,0,0,0,0,1,1,1,1,0
-8.142931237200 s,1,1,1,1,0,1,1,1,0,1,1,0
-8.141931246480 s,1,1,0,0,0,0,0,0,0,0,0,0
-8.140931253520 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.139931263040 s,0,0,0,0,0,0,0,1,1,1,1,0
-8.138931271120 s,1,0,1,0,1,1,1,1,0,1,1,0
-8.137931280400 s,1,1,0,0,0,0,0,0,0,0,0,0
-8.136931287680 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.135931296960 s,1,0,0,0,0,0,0,1,1,1,1,0
-8.134931305200 s,1,0,1,0,0,0,0,0,1,1,1,0
-8.133931314080 s,1,1,0,0,0,0,0,0,0,0,0,0
-8.132931321200 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.131931330720 s,1,0,0,1,0,0,0,1,1,1,1,0
-8.130931338800 s,0,0,0,1,1,0,0,0,1,1,1,0
-8.129931347840 s,1,1,0,0,0,0,0,0,0,0,0,0
-8.128931354880 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.127931364160 s,1,1,0,0,1,0,0,1,1,1,1,0
-8.126931372720 s,0,1,0,0,1,1,0,0,1,1,1,0
-8.125931381840 s,1,1,0,0,0,0,0,0,0,0,0,0
-8.124931388800 s,1,1,1,1,1,1,0,1,1,1,1,0
-8.123931397760 s,1,0,1,1,1,0,0,1,1,1,1,0
-8.122931406240 s,0,1,1,0,1,0,1,0,1,1,1,0
-8.121931415520 s,1,1,1,0,0,0,0,0,0,0,0,0
-8.120931422880 s,1,1,1,1,1,0,0,1,1,1,1,0
-8.119931431760 s,0,0,1,0,0,1,0,1,1,1,1,0
-8.118931439920 s,0,0,0,1,1,1,1,0,1,1,1,0
-8.117931449200 s,1,1,1,0,0,0,0,0,0,0,0,0
-8.116931456800 s,1,1,1,1,1,0,1,0,1,1,1,0
-8.115931465520 s,0,0,0,1,0,1,0,1,1,1,1,0
-8.114931473920 s,0,0,0,1,1,0,0,1,1,1,1,0
-8.113931482800 s,1,1,1,0,0,0,0,0,0,0,0,0
-8.112931490480 s,1,1,1,1,1,1,0,0,1,1,1,0
-8.111931499120 s,0,0,0,0,1,1,0,1,1,1,1,0
-8.110931507680 s,0,0,0,1,1,1,0,1,1,1,1,0
-8.109931516800 s,1,1,1,0,0,0,0,0,0,0,0,0
-8.108931524080 s,1,1,1,1,1,1,1,1,0,1,1,0
-8.107931533040 s,1,1,0,0,1,1,0,1,1,1,1,0
-8.106931541360 s,0,0,0,1,1,0,1,1,1,1,1,0
-8.105931550560 s,1,1,1,1,0,0,0,0,0,0,0,0
-8.104931558080 s,1,1,1,1,1,1,0,1,0,1,1,0
-8.103931566480 s,1,1,1,0,1,1,0,1,1,1,1,0
-8.102931574960 s,0,0,0,1,1,1,1,1,1,1,1,0
-8.101931583920 s,1,1,1,1,0,0,0,0,0,0,0,0
-8.100931591760 s,1,1,1,1,1,1,0,1,0,1,1,0
-8.099931600400 s,1,1,0,1,1,1,0,1,1,1,1,0
-8.098931608400 s,0,1,1,1,1,1,1,1,1,1,1,0
-8.097931617920 s,1,1,1,1,0,0,0,0,0,0,0,0
-8.096931625520 s,1,1,1,1,1,1,1,0,0,1,1,0
-8.095931634480 s,0,0,0,0,0,0,1,1,1,1,1,0
-8.094931643120 s,0,0,0,1,0,1,0,0,1,0,0,1
-8.093931651600 s,1,1,1,1,0,0,0,0,0,0,0,0
-8.092931659360 s,1,1,1,1,1,1,1,0,0,1,1,0
-8.091931668160 s,0,1,0,0,0,0,1,1,1,1,1,0
-8.090931676880 s,0,0,0,1,0,0,1,0,1,0,0,1
-8.089931685200 s,1,1,1,1,1,0,0,0,0,0,0,0
-8.088931693280 s,1,1,1,1,1,1,1,0,0,1,1,0
-8.087931702000 s,1,1,0,0,0,0,1,1,1,1,1,0
-8.086931710400 s,0,0,0,1,1,0,1,0,1,0,0,1
-8.085931719200 s,1,1,1,1,1,0,0,0,0,0,0,0
-8.084931726720 s,1,1,1,1,1,1,1,0,0,1,1,0
-8.083931735600 s,0,0,1,0,0,0,1,1,1,1,1,0
-8.082931744480 s,0,0,0,0,1,1,1,0,1,0,0,1
-8.081931752960 s,1,1,1,1,1,0,0,0,0,0,0,0
-8.080931760720 s,1,1,1,1,1,1,0,1,0,1,1,0
-8.079931769440 s,1,1,0,0,0,0,1,1,1,1,1,0
-8.078931778480 s,0,0,0,0,0,0,0,1,1,0,0,1
-8.077931786800 s,1,1,1,1,1,0,0,0,0,0,0,0
-8.076931794400 s,1,1,1,1,1,1,1,1,0,1,1,0
-8.075931803120 s,1,1,0,0,0,0,1,1,1,1,1,0
-8.074931812080 s,0,0,0,0,1,0,0,1,1,0,0,1
-8.073931820480 s,1,1,1,1,1,1,0,0,0,0,0,0
-8.072931828080 s,1,1,1,1,1,1,1,1,0,1,1,0
-8.071931836560 s,0,1,1,1,1,1,0,1,1,1,1,0
-8.070931845920 s,0,0,0,0,1,0,0,1,1,0,0,1
-8.069931854000 s,1,1,1,1,1,1,0,0,0,0,0,0
-8.068931861840 s,1,1,1,1,1,1,1,0,1,1,1,0
-8.067931870640 s,1,0,1,0,1,1,0,1,1,1,1,0
-8.066931879600 s,0,0,0,0,1,0,0,1,1,0,0,1
-8.065931887840 s,1,1,1,1,1,1,0,0,0,0,0,0
-8.064931895440 s,0,1,1,1,1,1,1,1,1,1,1,0
-8.063931904160 s,1,0,1,1,1,0,0,1,1,1,1,0
-8.062931913200 s,0,0,0,0,0,0,0,1,1,0,0,1
-8.061931921520 s,1,1,1,1,1,1,1,0,0,0,0,0
-8.060931929440 s,0,0,1,1,1,1,1,1,1,1,1,0
-8.059931938160 s,1,1,1,1,0,1,1,0,1,1,1,0
-8.058931947200 s,0,0,0,0,0,0,0,1,1,0,0,1
-8.057931955440 s,1,1,1,1,1,1,1,0,0,0,0,0
-8.056931963440 s,0,0,0,1,1,1,1,1,1,1,1,0
-8.055931972160 s,0,1,1,1,0,0,1,0,1,1,1,0
-8.054931980800 s,0,0,0,0,0,1,0,1,1,0,0,1
-8.053931988960 s,1,1,1,1,1,1,1,0,0,0,0,0
-8.052931997040 s,0,0,0,1,1,1,1,1,1,1,1,0
-8.051932005920 s,0,0,1,0,0,0,1,0,1,1,1,0
-8.050932014800 s,0,0,0,0,0,0,0,0,0,1,0,1
-8.049932022800 s,1,1,1,1,1,1,1,1,0,0,0,0
-8.048932030880 s,0,0,0,0,1,1,1,1,1,1,1,0
-8.047932039760 s,0,1,0,0,1,1,0,0,1,1,1,0
-8.046932048560 s,0,0,0,0,0,0,0,1,0,1,0,1
-8.045932056320 s,1,1,1,1,1,1,1,1,0,0,0,0
-8.044932064960 s,0,0,0,0,1,1,1,1,1,1,1,0
-8.043932073520 s,1,1,1,0,1,0,0,0,1,1,1,0
-8.042932082320 s,0,0,0,0,0,0,0,0,1,1,0,1
-8.041932089920 s,1,1,1,1,1,1,1,1,0,0,0,0
-8.040932098720 s,0,0,0,0,0,1,1,1,1,1,1,0
-8.039932107040 s,1,0,1,0,1,1,1,1,0,1,1,0
-8.038932116080 s,0,0,0,0,0,0,1,0,1,1,0,1
-8.037932123760 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.036932132400 s,0,0,0,0,0,1,1,1,1,1,1,0
-8.035932140880 s,1,1,1,0,1,0,1,1,0,1,1,0
