"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930830000 s,0,1,0,0,1,1,1,1,1,1,1,0
-8.190930838560 s,1,1,0,1,1,0,0,1,1,1,1,0
-8.189930847200 s,1,1,1,0,0,1,0,1,1,1,1,0
-8.188930854800 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.187930864000 s,1,0,0,0,1,1,1,1,1,1,1,0
-8.186930872560 s,0,1,0,1,1,0,0,1,1,1,1,0
-8.185930881200 s,1,0,0,1,0,1,0,1,1,1,1,0
-8.184930888800 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.183930897200 s,1,1,1,1,0,1,1,1,1,1,1,0
-8.182930906000 s,0,1,0,1,1,0,0,1,1,1,1,0
-8.181930914880 s,1,0,0,1,0,1,0,1,1,1,1,0
-8.180930922560 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.179930931360 s,0,0,0,0,1,1,1,1,1,1,1,0
-8.178930940160 s,1,0,0,1,1,0,0,1,1,1,1,0
-8.177930948400 s,0,1,0,1,0,1,0,1,1,1,1,0
-8.176930957680 s,1,0,0,0,0,0,0,0,0,0,0,1
-8.175930965440 s,0,0,0,0,1,1,1,1,1,1,1,0
-8.174930973920 s,1,0,0,1,1,0,0,1,1,1,1,0
-8.173930982160 s,1,0,1,1,0,1,0,1,1,1,1,0
-8.172930991360 s,1,1,0,0,0,0,0,0,0,0,0,1
-8.171930998880 s,0,1,1,1,0,1,1,1,1,1,1,0
-8.170931007840 s,0,0,0,1,1,0,0,1,1,1,1,0
-8.169931015520 s,0,1,1,1,0,1,0,1,1,1,1,0
-8.168931025120 s,1,1,0,0,0,0,0,0,0,0,0,1
-8.167931032560 s,0,0,1,1,0,1,1,1,1,1,1,0
-8.166931041520 s,1,0,0,1,1,0,0,1,1,1,1,0
-8.165931049600 s,1,1,1,1,0,1,0,1,1,1,1,0
-8.164931058800 s,1,0,1,0,0,0,0,0,0,0,0,1
-8.163931066560 s,1,0,1,1,0,1,1,1,1,1,1,0
-8.162931075120 s,0,0,0,1,1,0,0,1,1,1,1,0
-8.161931083280 s,1,1,1,1,0,1,0,1,1,1,1,0
-8.160931092720 s,1,0,1,0,0,0,0,0,0,0,0,1
-8.159931100320 s,0,1,0,1,0,1,1,1,1,1,1,0
-8.158931108720 s,1,1,1,0,1,0,0,1,1,1,1,0
-8.157931117200 s,1,1,0,0,1,1,0,1,1,1,1,0
-8.156931126480 s,0,0,1,0,0,0,0,0,0,0,0,1
-8.155931134160 s,1,0,0,1,0,1,1,1,1,1,1,0
-8.154931142720 s,0,1,1,0,1,0,0,1,1,1,1,0
-8.153931150960 s,0,0,1,0,1,1,0,1,1,1,1,0
-8.152931160000 s,0,1,1,0,0,0,0,0,0,0,0,1
-8.151931167920 s,0,0,0,1,0,1,1,1,1,1,1,0
-8.150931176400 s,0,1,1,0,1,0,0,1,1,1,1,0
-8.149931184640 s,0,0,1,0,1,1,0,1,1,1,1,0
-8.148931194000 s,0,0,0,1,0,0,0,0,0,0,0,1
-8.147931201680 s,1,1,1,0,0,1,1,1,1,1,1,0
-8.146931210240 s,1,0,1,0,1,0,0,1,1,1,1,0
-8.145931218320 s,1,1,1,0,1,1,0,1,1,1,1,0
-8.144931227440 s,1,1,1,0,0,0,0,0,0,0,0,1
-8.143931235440 s,0,1,1,0,0,1,1,1,1,1,1,0
-8.142931244160 s,0,0,1,0,1,0,0,1,1,1,1,0
-8.141931252160 s,1,1,1,0,1,1,0,1,1,1,1,0
-8.140931261280 s,1,1,1,0,0,0,0,0,0,0,0,1
-8.139931269280 s,0,0,1,0,0,1,1,1,1,1,1,0
-8.138931277920 s,0,0,1,0,1,0,0,1,1,1,1,0
-8.137931286160 s,1,0,0,1,1,1,0,1,1,1,1,0
-8.136931295280 s,1,1,1,0,0,0,0,0,0,0,0,1
-8.135931303200 s,1,0,0,0,0,1,1,1,1,1,1,0
-8.134931311680 s,1,1,0,0,1,0,0,1,1,1,1,0
-8.133931319760 s,0,1,0,1,1,1,0,1,1,1,1,0
-8.132931329120 s,1,0,0,1,0,0,0,0,0,0,0,1
-8.131931336960 s,0,0,0,0,0,1,1,1,1,1,1,0
-8.130931345360 s,0,0,1,0,1,0,0,1,1,1,1,0
-8.129931353360 s,1,0,1,1,1,1,0,1,1,1,1,0
-8.128931362720 s,0,1,0,1,0,0,0,0,0,0,0,1
-8.127931370240 s,0,1,1,1,1,0,1,1,1,1,1,0
-8.126931379040 s,0,1,0,0,1,0,0,1,1,1,1,0
-8.125931387200 s,1,0,1,1,1,1,0,1,1,1,1,0
-8.124931396560 s,0,1,0,1,0,0,0,0,0,0,0,1
-8.123931404000 s,0,1,1,1,1,0,1,1,1,1,1,0
