"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930437520 s,1,0,1,0,1,1,1,1,1,1,0,1
-8.190930446640 s,0,1,1,1,0,0,0,0,0,0,1,1
-8.189930454880 s,1,0,1,0,1,1,0,1,1,1,0,1
-8.188930463040 s,1,1,1,0,1,1,1,1,0,1,0,1
-8.187930471840 s,0,0,0,1,0,1,1,1,1,0,0,1
-8.186930480960 s,0,0,0,0,0,1,0,1,0,0,0,1
-8.185930488800 s,0,1,1,0,0,0,1,0,1,1,1,0
-8.184930497360 s,1,0,1,0,1,1,1,1,1,0,1,0
-8.183930506000 s,1,0,1,0,1,0,1,1,0,0,1,0
-8.182930514960 s,0,0,1,0,0,0,0,0,0,0,1,0
-8.181930523280 s,0,1,0,0,1,0,0,1,1,1,0,0
-8.180930531440 s,1,1,1,1,0,0,0,1,1,1,0,0
-8.179930539680 s,1,0,0,1,1,1,1,1,1,1,0,0
-8.178930548400 s,0,0,1,1,0,0,1,1,0,0,1,0
-8.177930556800 s,1,0,0,1,0,1,1,1,1,0,1,0
-8.176930565360 s,0,0,0,1,1,1,0,0,1,1,1,0
-8.175930574160 s,0,0,1,0,1,0,0,1,0,0,0,1
-8.174930582000 s,1,1,1,1,1,0,1,1,1,0,0,1
-8.173930590880 s,1,0,0,0,1,1,1,1,0,1,0,1
-8.172930598960 s,0,1,0,0,1,1,0,1,1,1,0,1
-8.171930608240 s,1,0,1,1,0,0,0,0,0,0,1,1
-8.170930615840 s,1,1,1,0,1,1,1,1,1,1,0,1
-8.169930624400 s,1,1,1,0,1,1,1,0,1,1,0,1
-8.168930633200 s,1,1,1,0,1,0,0,1,0,1,0,1
-8.167930641760 s,1,1,0,1,0,1,1,0,1,0,0,1
-8.166930650400 s,1,1,1,0,1,0,0,0,0,0,0,1
-8.165930658800 s,0,0,1,1,1,1,0,1,0,1,1,0
-8.164930667040 s,0,0,1,1,1,1,1,0,1,0,1,0
-8.163930676080 s,0,0,0,1,1,1,1,0,0,0,1,0
-8.162930684160 s,0,1,0,1,0,0,1,1,1,1,0,0
-8.161930693120 s,0,0,1,0,0,0,0,1,1,1,0,0
-8.160930701280 s,1,1,0,1,0,1,0,1,1,1,0,0
-8.159930710160 s,1,1,0,0,0,0,1,0,0,0,1,0
-8.158930718400 s,1,1,0,0,1,1,0,0,1,0,1,0
-8.157930726640 s,1,1,1,0,0,1,1,0,0,1,1,0
-8.156930735200 s,0,0,1,0,0,0,1,1,1,1,1,0
-8.155930743920 s,0,1,0,1,1,0,0,0,1,0,0,1
-8.154930752240 s,1,1,0,0,1,0,1,0,0,1,0,1
-8.153930760800 s,0,1,0,1,0,0,1,0,1,1,0,1
-8.152930768960 s,1,0,0,0,0,1,1,1,1,1,0,1
-8.151930777840 s,0,0,1,0,1,0,0,0,0,0,1,1
-8.150930786000 s,1,1,0,0,1,0,1,1,1,1,0,1
-8.149930794960 s,0,0,0,1,0,1,0,0,1,1,0,1
-8.148930803360 s,1,1,1,0,0,1,0,0,0,1,0,1
-8.147930811680 s,1,0,0,1,0,1,1,1,0,0,0,1
-8.146930820240 s,0,1,0,0,1,0,0,1,1,1,1,0
-8.145930828640 s,0,1,0,1,1,1,0,0,0,1,1,0
-8.144930837200 s,1,1,1,1,0,0,0,0,1,0,1,0
-8.143930845760 s,1,1,1,0,0,1,0,0,0,0,1,0
-8.142930854400 s,1,0,0,0,0,1,0,1,1,1,0,0
-8.141930862800 s,0,0,0,1,0,0,0,1,1,1,0,0
-8.140930870720 s,1,0,1,1,1,0,1,1,1,1,0,0
-8.139930879760 s,0,0,0,1,1,0,0,1,0,0,1,0
-8.138930888320 s,0,0,0,1,0,1,0,1,1,0,1,0
-8.137930896400 s,1,0,1,1,0,1,1,1,0,1,1,0
-8.136930905440 s,0,1,0,1,0,0,1,0,0,0,0,1
-8.135930913600 s,1,1,0,1,1,0,0,1,1,0,0,1
-8.134930921840 s,1,1,0,1,1,1,0,1,0,1,0,1
-8.133930930560 s,0,1,0,0,1,0,0,1,1,1,0,1
-8.132930939440 s,0,0,1,0,0,0,0,0,0,0,1,1
-8.131930947920 s,0,0,0,1,0,0,0,0,0,0,1,1
-8.130930955760 s,1,1,0,1,1,0,0,1,1,1,0,1
-8.129930964240 s,1,1,1,1,0,0,1,1,0,1,0,1
-8.128930973120 s,0,0,0,0,1,1,0,1,1,0,0,1
-8.127930981760 s,1,1,0,0,0,1,1,0,0,0,0,1
-8.126930990240 s,1,0,0,1,0,0,0,0,1,1,1,0
-8.125930998320 s,0,0,1,1,1,1,0,1,1,0,1,0
-8.124931006960 s,1,1,0,1,0,1,0,1,0,0,1,0
-8.123931015520 s,0,0,0,1,0,1,1,1,1,1,0,0
-8.122931023920 s,0,1,0,1,0,0,0,1,1,1,0,0
-8.121931032320 s,1,1,0,1,1,0,0,1,1,1,0,0
-8.120931041360 s,1,0,0,1,1,0,0,0,0,0,1,0
-8.119931049280 s,1,0,0,1,1,1,1,1,0,0,1,0
-8.118931058080 s,1,1,0,0,0,1,0,0,0,1,1,0
-8.117931066080 s,0,1,1,0,1,1,1,0,1,1,1,0
-8.116931075120 s,1,0,0,0,1,0,1,1,0,0,0,1
-8.115931083680 s,0,0,1,0,1,0,0,0,0,1,0,1
-8.114931091840 s,1,1,1,0,1,0,0,0,1,1,0,1
-8.113931100160 s,1,1,0,1,0,0,1,1,1,1,0,1
-8.112931109200 s,0,1,0,0,1,0,0,0,0,0,1,1
-8.111931116960 s,1,0,0,1,0,1,1,1,1,1,0,1
-8.110931125440 s,0,1,1,0,1,0,1,0,1,1,0,1
-8.109931134160 s,0,1,1,0,0,1,1,0,0,1,0,1
-8.108931143200 s,1,0,0,0,1,1,0,0,1,0,0,1
-8.107931150880 s,0,0,1,1,1,0,1,1,1,1,1,0
-8.106931160160 s,0,0,1,0,0,0,0,1,0,1,1,0
-8.105931168640 s,0,1,0,1,0,0,1,0,1,0,1,0
-8.104931176960 s,1,1,0,0,1,0,1,0,0,0,1,0
-8.103931185040 s,1,1,0,0,1,1,0,1,1,1,0,0
-8.102931194080 s,0,0,1,0,0,0,0,1,1,1,0,0
-8.101931201680 s,1,1,1,1,1,1,0,1,1,1,0,0
-8.100931210880 s,0,1,1,0,0,1,1,0,0,0,1,0
-8.099931219120 s,1,1,1,0,0,1,1,0,1,0,1,0
-8.098931227600 s,1,1,0,0,0,1,0,1,0,1,1,0
-8.097931236720 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.096931244640 s,0,1,1,0,1,0,1,0,1,0,0,1
-8.095931253440 s,1,0,1,0,0,0,0,1,0,1,0,1
-8.094931261520 s,0,1,0,1,0,1,1,0,1,1,0,1
-8.093931269760 s,1,1,0,0,1,1,1,1,1,1,0,1
-8.092931278960 s,0,0,0,0,1,0,0,0,0,0,1,1
-8.091931286720 s,1,1,0,1,1,1,0,1,1,1,0,1
-8.090931295840 s,0,1,0,0,0,0,0,0,1,1,0,1
-8.089931304000 s,0,1,0,0,1,1,1,1,1,0,0,1
-8.088931312640 s,1,0,1,1,0,1,0,1,0,0,0,1
-8.087931320960 s,0,0,1,0,1,0,1,0,1,1,1,0
-8.086931329200 s,1,1,1,1,1,1,1,1,1,0,1,0
-8.085931338240 s,0,0,0,0,0,1,1,1,0,0,1,0
-8.084931346960 s,0,1,0,1,0,0,0,0,0,0,1,0
-8.083931355200 s,1,0,1,0,1,0,0,1,1,1,0,0
-8.082931363600 s,1,1,1,1,0,0,0,1,1,1,0,0
-8.081931371920 s,1,0,1,0,1,1,1,1,1,1,0,0
-8.080931380720 s,1,1,0,0,0,0,1,1,0,0,1,0
-8.079931388640 s,0,1,1,1,1,0,1,1,1,0,1,0
-8.078931397680 s,0,1,0,1,0,1,0,0,1,1,1,0
-8.077931406400 s,1,1,1,0,0,0,0,1,0,0,0,1
-8.076931414320 s,1,1,0,0,1,0,1,1,1,0,0,1
-8.075931422800 s,1,1,1,0,0,1,1,1,0,1,0,1
-8.074931431120 s,0,1,0,1,0,1,0,1,1,1,0,1
-8.073931440160 s,1,0,1,1,0,0,0,0,0,0,1,1
-8.072931447920 s,0,1,0,1,1,1,1,1,1,1,0,1
-8.071931456480 s,1,0,1,1,1,1,1,0,1,1,0,1
-8.070931465760 s,1,0,0,0,0,1,0,1,0,1,0,1
-8.069931473920 s,1,1,1,0,1,1,1,0,1,0,0,1
-8.068931482640 s,0,1,1,0,0,1,0,0,0,0,0,1
-8.067931490800 s,1,0,1,1,0,0,1,1,0,1,1,0
-8.066931499760 s,0,1,0,1,0,0,0,1,1,0,1,0
-8.065931508240 s,0,0,1,0,0,0,0,1,0,0,1,0
-8.064931516640 s,0,0,0,0,1,0,1,1,1,1,0,0
-8.063931524960 s,1,0,1,0,0,0,0,1,1,1,0,0
-8.062931533360 s,0,1,0,1,0,1,0,1,1,1,0,0
-8.061931542160 s,1,0,0,1,1,1,0,0,0,0,1,0
-8.060931550720 s,1,0,0,1,0,1,0,0,1,0,1,0
-8.059931558720 s,1,1,0,1,1,0,1,0,0,1,1,0
-8.058931567200 s,1,1,0,0,1,1,0,1,1,1,1,0
-8.057931575840 s,0,0,1,1,0,0,0,0,1,0,0,1
-8.056931584640 s,0,0,0,1,0,0,1,0,0,1,0,1
-8.055931592880 s,0,1,0,0,0,0,1,0,1,1,0,1
-8.054931600720 s,1,1,1,1,1,0,1,1,1,1,0,1
-8.053931610000 s,0,0,1,0,1,0,0,0,0,0,1,1
-8.052931618080 s,0,0,0,1,1,0,1,1,1,1,0,1
-8.051931626960 s,0,0,0,0,1,1,0,0,1,1,0,1
-8.050931635520 s,0,0,1,0,1,1,0,0,0,1,0,1
-8.049931643840 s,1,0,1,0,1,1,1,1,0,0,0,1
-8.048931651840 s,1,0,1,1,1,0,0,1,1,1,1,0
-8.047931660960 s,1,0,0,1,0,0,1,0,0,1,1,0
-8.046931669280 s,0,1,0,1,1,0,0,0,1,0,1,0
-8.045931677760 s,1,1,1,1,0,1,0,0,0,0,1,0
-8.044931686400 s,0,0,1,0,0,1,0,1,1,1,0,0
-8.043931695120 s,1,0,1,0,0,0,0,1,1,1,0,0
-8.042931703120 s,1,0,1,0,1,0,1,1,1,1,0,0
-8.041931711840 s,1,1,1,1,0,0,0,1,0,0,1,0
-8.040931720000 s,0,0,1,1,1,0,0,1,1,0,1,0
-8.039931728800 s,1,0,0,0,0,1,1,1,0,1,1,0
-8.038931737440 s,1,0,0,1,1,1,0,0,0,0,0,1
-8.037931745680 s,0,1,1,1,0,0,0,1,1,0,0,1
-8.036931754080 s,1,0,0,0,1,1,0,1,0,1,0,1
-8.035931762640 s,1,1,0,1,0,0,0,1,1,1,0,1
-8.034931771520 s,0,1,0,0,0,0,0,0,0,0,1,1
-8.033931780000 s,1,0,0,1,0,0,0,0,0,0,1,1
-8.032931788320 s,1,0,0,0,0,1,0,1,1,1,0,1
-8.031931796400 s,0,1,1,0,1,0,1,1,0,1,0,1
-8.030931804960 s,1,0,1,1,1,1,0,1,1,0,0,1
-8.029931813760 s,0,0,0,0,1,1,1,0,0,0,0,1
-8.028931821760 s,1,1,1,0,1,0,0,0,1,1,1,0
-8.027931830560 s,0,0,1,1,0,0,1,1,1,0,1,0
-8.026931839040 s,1,1,0,0,1,1,0,1,0,0,1,0
-8.025931847360 s,1,1,0,1,0,1,1,1,1,1,0,0
-8.024931856080 s,1,1,0,1,0,0,0,1,1,1,0,0
-8.023931864560 s,1,0,0,1,1,0,0,1,1,1,0,0
-8.022931873440 s,1,1,0,0,1,0,0,0,0,0,1,0
-8.021931881360 s,0,1,1,1,0,1,1,1,0,0,1,0
-8.020931890080 s,0,1,1,0,1,0,0,0,0,1,1,0
-8.019931898240 s,1,0,0,1,0,1,1,0,1,1,1,0
-8.018931907040 s,1,0,1,0,0,0,1,1,0,0,0,1
-8.017931915600 s,1,1,1,0,0,0,0,0,0,1,0,1
-8.016931924160 s,0,1,0,0,1,0,0,0,1,1,0,1
-8.015931932240 s,0,1,1,0,0,0,1,1,1,1,0,1
-8.014931941360 s,1,0,0,0,1,0,0,0,0,0,1,1
-8.013931948880 s,1,0,1,1,0,1,1,1,1,1,0,1
-8.012931957840 s,1,0,1,1,1,0,1,0,1,1,0,1
-8.011931966080 s,1,1,1,1,0,1,1,0,0,1,0,1
-8.010931974720 s,0,0,1,1,1,1,0,0,1,0,0,1
-8.009931983040 s,0,1,0,1,0,1,1,1,1,1,1,0
-8.008931992160 s,0,0,0,0,1,0,0,1,0,1,1,0
-8.007932000480 s,1,0,1,0,1,0,1,0,1,0,1,0
-8.006932009200 s,1,0,0,1,1,0,1,0,0,0,1,0
-8.005932017360 s,0,0,0,1,1,1,0,1,1,1,0,0
-8.004932026160 s,1,1,0,0,0,0,0,1,1,1,0,0
-8.003932034240 s,1,0,0,1,1,1,0,1,1,1,0,0
-8.002932042960 s,0,0,0,0,0,1,1,0,0,0,1,0
-8.001932051520 s,1,0,0,1,1,0,1,0,1,0,1,0
-8.000932059920 s,1,0,1,0,1,0,0,1,0,1,1,0
-7.999932067920 s,1,0,0,0,1,1,1,1,1,1,1,0
-7.998932076960 s,0,0,0,1,0,0,1,0,1,0,0,1
-7.997932085280 s,1,0,1,0,1,1,1,0,0,1,0,1
-7.996932093440 s,1,1,0,0,0,1,1,0,1,1,0,1
-7.995932102080 s,1,0,1,1,0,1,1,1,1,1,0,1
-7.994932111360 s,0,0,0,0,1,0,0,0,0,0,1,1
-7.993932119040 s,0,1,0,0,0,0,1,1,1,1,0,1
-7.992932127600 s,1,1,0,1,0,0,0,0,1,1,0,1
-7.991932135760 s,0,1,1,1,1,1,1,1,1,0,0,1
-7.990932144640 s,1,0,0,1,1,1,0,1,0,0,0,1
-7.989932153280 s,0,1,0,0,0,1,1,0,1,1,1,0
-7.988932161760 s,0,1,1,1,0,0,0,0,0,1,1,0
-7.987932170080 s,1,1,1,0,0,1,1,1,0,0,1,0
-7.986932178800 s,1,1,1,1,0,0,0,0,0,0,1,0
-7.985932187360 s,0,0,0,1,1,0,0,1,1,1,0,0
-7.984932195600 s,1,0,1,1,0,0,0,1,1,1,0,0
-7.983932203840 s,1,0,1,1,0,1,1,1,1,1,0,0
-7.982932212720 s,1,1,1,0,1,1,0,1,0,0,1,0
-7.981932221040 s,0,1,0,0,1,0,1,1,1,0,1,0
-7.980932229600 s,1,0,1,1,1,0,0,0,1,1,1,0
-7.979932237840 s,0,1,1,0,1,1,1,0,0,0,0,1
-7.978932246640 s,1,1,1,0,0,0,1,1,1,0,0,1
-7.977932254800 s,1,0,1,1,1,0,1,1,0,1,0,1
-7.976932263440 s,0,1,1,0,0,1,0,1,1,1,0,1
-7.975932272480 s,0,0,1,1,0,0,0,0,0,0,1,1
-7.974932279920 s,1,0,1,1,1,1,1,1,1,1,0,1
-7.973932289040 s,1,1,1,0,0,0,0,1,1,1,0,1
-7.972932297520 s,0,1,0,1,0,1,0,1,0,1,0,1
-7.971932306320 s,1,1,1,0,0,0,0,1,1,0,0,1
-7.970932314800 s,1,0,0,0,1,1,0,0,0,0,0,1
-7.969932322960 s,1,0,0,1,1,0,1,1,0,1,1,0
-7.968932331520 s,0,0,1,0,1,0,0,1,1,0,1,0
-7.967932340320 s,1,1,0,1,0,0,0,1,0,0,1,0
-7.966932348400 s,1,1,0,0,1,0,1,1,1,1,0,0
-7.965932357040 s,1,0,1,0,0,0,0,1,1,1,0,0
-7.964932365360 s,1,0,1,0,0,1,0,1,1,1,0,0
-7.963932374240 s,0,0,0,0,1,1,0,0,0,0,1,0
-7.962932382400 s,0,1,1,1,1,0,0,0,1,0,1,0
-7.961932391040 s,0,1,1,1,0,0,1,0,0,1,1,0
-7.960932399120 s,1,0,1,0,0,1,0,1,1,1,1,0
-7.959932408400 s,1,0,0,0,0,0,0,0,1,0,0,1
-7.958932416400 s,0,1,0,1,1,1,0,0,0,1,0,1
-7.957932424880 s,0,1,1,0,1,1,0,0,1,1,0,1
-7.956932433200 s,0,1,0,1,1,0,1,1,1,1,0,1
-7.955932442240 s,0,1,0,0,1,0,0,0,0,0,1,1
-7.954932449920 s,1,1,0,1,1,0,1,1,1,1,0,1
-7.953932458640 s,1,0,0,1,1,1,0,0,1,1,0,1
-7.952932467280 s,1,0,1,1,1,1,0,0,0,1,0,1
-7.951932476160 s,0,1,1,0,0,0,0,0,1,0,0,1
-7.950932483920 s,1,1,0,1,0,1,0,1,1,1,1,0
-7.949932493040 s,0,0,1,0,1,0,1,0,0,1,1,0
-7.948932501760 s,1,0,0,0,0,1,0,0,1,0,1,0
-7.947932509920 s,1,1,1,0,1,1,0,0,0,0,1,0
-7.946932518240 s,0,0,0,1,0,1,0,1,1,1,0,0
-7.945932526880 s,1,0,1,0,0,0,0,1,1,1,0,0
-7.944932535120 s,0,0,1,0,1,0,1,1,1,1,0,0
-7.943932544080 s,0,1,1,0,0,0,0,1,0,0,1,0
-7.942932552000 s,1,1,1,1,0,0,0,1,1,0,1,0
-7.941932560880 s,0,0,1,0,1,0,1,1,0,1,1,0
-7.940932569520 s,0,0,1,1,0,1,0,0,0,0,0,1
-7.939932578160 s,0,0,1,0,0,0,0,1,1,0,0,1
-7.938932586480 s,1,0,0,1,0,1,0,1,0,1,0,1
-7.937932594720 s,0,0,1,0,0,0,0,1,1,1,0,1
-7.936932602640 s,0,0,1,1,1,1,1,1,1,1,0,1
-7.935932612160 s,1,1,0,1,0,0,0,0,0,0,1,1
-7.934932619920 s,1,1,1,0,0,1,0,1,1,1,0,1
-7.933932628720 s,0,1,0,0,0,1,1,1,0,1,0,1
-7.932932637280 s,0,0,1,1,0,0,1,1,1,0,0,1
-7.931932645600 s,1,1,0,1,1,1,1,0,0,0,0,1
-7.930932654240 s,0,0,1,0,0,1,0,0,1,1,1,0
-7.929932662480 s,0,0,0,1,1,0,1,1,1,0,1,0
-7.928932671200 s,1,1,0,1,1,1,0,1,0,0,1,0
-7.927932679280 s,0,1,0,0,1,1,1,1,1,1,0,0
-7.926932688240 s,1,1,0,1,0,0,0,1,1,1,0,0
-7.925932696560 s,0,0,1,0,1,0,0,1,1,1,0,0
-7.924932705520 s,1,0,1,1,0,0,0,0,0,0,1,0
