"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930829760 s,0,1,1,1,0,0,0,1,1,1,0,0
-8.190930838160 s,1,1,0,1,0,1,0,1,1,0,0,0
-8.189930846880 s,0,0,1,1,0,1,1,0,0,0,0,0
-8.188930855520 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.187930863840 s,1,0,0,0,1,1,0,0,0,0,0,0
-8.186930872080 s,0,1,1,0,0,0,1,0,1,0,0,0
-8.185930880560 s,0,0,1,0,0,0,0,0,1,1,0,0
-8.184930888480 s,1,0,1,1,1,1,0,0,1,0,1,0
-8.183930896720 s,0,1,0,1,1,1,0,1,1,1,1,0
-8.182930905760 s,1,1,0,0,1,1,0,0,0,1,0,1
-8.181930914080 s,0,1,0,0,1,1,1,0,0,0,1,1
-8.180930922640 s,0,1,0,0,1,1,0,0,0,1,1,1
-8.179930930480 s,0,1,1,1,0,0,1,0,1,1,1,1
-8.178930939120 s,1,1,0,0,0,1,0,1,1,1,1,1
-8.177930947680 s,0,0,0,0,1,1,0,0,1,1,1,1
-8.176930955600 s,0,1,0,1,1,1,1,1,1,0,1,1
-8.175930964880 s,0,1,1,0,0,1,0,0,0,0,1,1
-8.174930973200 s,0,0,1,1,1,0,1,1,1,0,0,1
-8.173930981360 s,0,1,1,1,1,0,1,0,1,1,1,0
-8.172930990000 s,1,1,1,0,0,1,1,1,0,0,1,0
-8.171930998160 s,1,1,1,1,1,1,0,1,0,1,0,0
-8.170931007280 s,1,0,0,1,1,0,0,0,1,0,0,0
-8.169931015840 s,0,1,0,0,0,1,0,0,0,0,0,0
-8.168931024480 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.167931032640 s,1,1,1,0,0,0,0,1,0,0,0,0
-8.166931041040 s,1,0,0,0,0,1,1,1,1,0,0,0
-8.165931049120 s,0,0,0,1,1,0,1,1,1,1,0,0
-8.164931057760 s,1,1,0,0,1,1,0,0,0,1,1,0
-8.163931066000 s,0,0,1,0,1,1,0,1,0,0,0,1
-8.162931074640 s,0,1,0,0,0,1,0,0,1,1,0,1
-8.161931082880 s,1,1,0,0,1,1,0,0,1,0,1,1
-8.160931090960 s,0,1,1,0,1,1,0,1,0,1,1,1
-8.159931099680 s,1,0,0,1,0,0,0,1,1,1,1,1
-8.158931108160 s,0,0,0,0,1,0,0,1,1,1,1,1
-8.157931116400 s,1,0,1,1,0,0,1,1,0,1,1,1
-8.156931125120 s,0,0,1,0,1,0,1,0,1,0,1,1
-8.155931133280 s,0,0,1,1,0,0,1,0,1,1,0,1
-8.154931142080 s,1,1,0,0,0,1,1,1,0,0,0,1
-8.153931150480 s,0,1,0,0,0,1,1,0,0,1,1,0
-8.152931158480 s,1,1,1,1,1,1,1,1,1,1,0,0
-8.151931167920 s,0,1,0,1,0,0,0,0,0,1,0,0
-8.150931176160 s,0,1,0,0,0,1,0,1,0,0,0,0
-8.149931184800 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.148931193200 s,1,1,0,0,1,0,0,0,0,0,0,0
-8.147931201280 s,0,0,0,1,1,1,1,1,0,0,0,0
-8.146931209840 s,0,0,0,1,1,0,0,1,0,1,0,0
-8.145931217920 s,0,1,0,1,1,1,0,1,0,0,1,0
-8.144931226320 s,0,0,0,0,1,1,0,0,1,1,1,0
-8.143931234640 s,0,1,1,1,0,1,0,1,1,0,0,1
-8.142931243680 s,1,0,0,0,0,0,0,0,0,0,1,1
-8.141931251760 s,0,0,0,0,0,1,1,1,1,0,1,1
-8.140931260320 s,0,0,0,0,0,1,0,0,1,1,1,1
-8.139931268560 s,0,1,0,0,0,1,0,1,1,1,1,1
-8.138931276480 s,0,1,0,1,1,0,1,0,1,1,1,1
-8.137931285280 s,0,1,1,1,0,0,1,0,0,1,1,1
-8.136931294160 s,0,0,0,1,1,0,0,1,0,0,1,1
-8.135931302160 s,1,1,1,1,1,0,1,0,0,1,0,1
-8.134931310640 s,1,0,0,1,0,1,1,1,1,1,1,0
-8.133931319120 s,0,0,1,1,0,1,1,0,1,0,1,0
-8.132931327840 s,1,0,1,1,0,1,0,0,1,1,0,0
-8.131931336160 s,1,1,1,0,0,1,1,0,1,0,0,0
-8.130931345040 s,1,1,1,0,0,0,1,0,0,0,0,0
-8.129931353600 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.128931361920 s,1,0,1,0,1,0,1,0,0,0,0,0
-8.127931370160 s,1,0,0,1,0,0,0,1,1,0,0,0
-8.126931378640 s,1,0,0,0,0,1,1,0,1,1,0,0
-8.125931386640 s,1,1,0,1,0,1,0,1,1,0,1,0
-8.124931395600 s,1,1,0,1,0,1,0,0,0,0,0,1
-8.123931403680 s,0,1,0,0,0,1,0,1,0,1,0,1
-8.122931412000 s,1,0,1,1,0,0,1,1,0,0,1,1
-8.121931420560 s,1,0,0,0,1,1,1,0,0,1,1,1
-8.120931428560 s,0,1,0,1,0,1,1,0,1,1,1,1
-8.119931437040 s,0,1,1,1,1,0,0,1,1,1,1,1
-8.118931446160 s,1,0,0,1,0,0,0,0,1,1,1,1
-8.117931454080 s,0,1,0,0,1,1,0,1,1,0,1,1
-8.116931462480 s,1,1,1,0,0,0,1,1,1,1,0,1
-8.115931471200 s,0,0,1,1,0,1,1,0,1,0,0,1
-8.114931479440 s,0,0,1,1,0,1,1,1,0,1,1,0
-8.113931488560 s,1,0,0,0,0,0,0,1,0,0,1,0
-8.112931496720 s,1,0,0,1,0,1,1,0,0,1,0,0
-8.111931505440 s,1,0,0,0,0,1,1,1,0,0,0,0
-8.110931514000 s,1,0,0,1,0,0,0,0,0,0,0,0
-8.109931522640 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.108931530640 s,0,1,1,0,1,1,0,1,0,0,0,0
-8.107931538720 s,1,1,1,1,0,1,0,0,0,1,0,0
-8.106931547360 s,1,1,0,1,1,1,0,0,0,0,1,0
-8.105931555840 s,1,0,1,0,0,1,0,1,0,1,1,0
-8.104931564320 s,1,0,1,0,0,1,0,0,1,0,0,1
-8.103931572880 s,0,0,0,1,0,0,0,1,1,1,0,1
-8.102931581200 s,1,0,1,0,0,0,0,1,1,0,1,1
-8.101931589200 s,0,0,0,1,0,1,1,1,0,1,1,1
-8.100931597760 s,0,0,0,1,1,0,0,1,1,1,1,1
-8.099931605760 s,1,1,0,1,1,1,1,0,1,1,1,1
-8.098931614640 s,1,1,1,0,1,0,0,1,0,1,1,1
-8.097931623600 s,1,1,0,0,0,0,0,0,1,0,1,1
-8.096931631600 s,0,1,0,0,0,1,1,1,0,1,0,1
-8.095931640080 s,0,1,0,0,1,1,1,0,0,0,0,1
-8.094931648240 s,0,1,0,0,1,1,1,1,1,0,1,0
-8.093931657120 s,0,1,0,0,0,1,0,1,1,1,0,0
-8.092931665440 s,1,1,0,1,1,1,0,1,1,0,0,0
-8.091931674240 s,0,0,1,0,1,1,1,0,0,0,0,0
-8.090931682880 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.089931691120 s,0,1,0,1,0,1,0,0,0,0,0,0
-8.088931699440 s,1,0,1,0,1,1,0,0,1,0,0,0
-8.087931707520 s,1,1,1,1,0,1,1,1,0,1,0,0
-8.086931716640 s,1,0,1,0,0,1,0,0,1,0,1,0
-8.085931724560 s,1,1,0,0,0,1,0,1,1,1,1,0
-8.084931733040 s,1,0,1,1,1,0,0,0,0,1,0,1
-8.083931741440 s,1,0,1,1,1,0,1,0,0,0,1,1
-8.082931749840 s,1,1,0,0,0,1,0,0,0,1,1,1
-8.081931758080 s,0,1,1,0,0,0,1,0,1,1,1,1
-8.080931766480 s,0,0,1,0,0,1,0,1,1,1,1,1
-8.079931774880 s,1,1,1,0,1,1,0,0,1,1,1,1
-8.078931783840 s,1,1,0,1,0,0,0,0,0,1,1,1
-8.077931792400 s,1,0,0,1,1,1,0,0,0,0,1,1
-8.076931800400 s,1,0,0,0,1,1,1,1,1,0,0,1
-8.075931808720 s,0,1,1,0,1,1,1,0,1,1,1,0
-8.074931817360 s,0,0,1,1,1,1,1,1,0,0,1,0
-8.073931826080 s,1,0,1,0,1,0,1,1,0,1,0,0
-8.072931834560 s,1,1,1,0,0,1,0,0,1,0,0,0
-8.071931842960 s,1,1,1,0,0,1,0,0,0,0,0,0
-8.070931851840 s,0,0,0,0,0,0,0,0,0,0,0,0
-8.069931860000 s,0,0,1,1,1,1,1,0,0,0,0,0
-8.068931868400 s,1,0,0,0,1,0,1,1,1,0,0,0
-8.067931876640 s,0,0,1,0,0,0,1,1,1,1,0,0
-8.066931885120 s,0,0,1,1,1,0,0,0,0,1,1,0
