"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930864880 s,1,0,1,0,1,0,0,1,0,0,0,1
-8.190930873200 s,0,0,0,0,1,1,1,0,0,1,1,0
-8.189930881600 s,0,0,1,0,1,0,1,1,0,0,1,0
-8.188930890320 s,1,1,0,1,1,0,1,0,0,0,1,0
-8.187930898720 s,0,0,1,1,0,1,0,0,1,0,1,0
-8.186930907040 s,1,1,0,1,0,0,0,0,1,1,1,0
-8.185930915840 s,1,0,0,0,0,0,1,0,1,0,0,1
-8.184930923200 s,1,1,1,1,1,0,1,1,0,1,0,1
-8.183930932240 s,1,1,0,0,0,0,1,0,1,1,0,1
-8.182930940880 s,1,1,1,0,0,0,1,0,0,1,0,1
-8.181930949360 s,1,0,1,1,1,0,1,0,0,0,0,1
-8.180930957760 s,0,1,0,0,0,0,1,0,0,1,1,0
-8.179930965920 s,0,1,0,1,1,1,0,1,0,0,1,0
-8.178930974800 s,0,0,1,0,0,1,1,0,0,0,1,0
-8.177930983200 s,1,1,0,0,1,0,1,0,1,0,1,0
-8.176930991280 s,0,1,1,0,0,0,1,0,1,1,1,0
-8.175930999760 s,0,0,1,0,1,1,1,0,1,0,0,1
-8.174931008080 s,1,0,0,1,1,1,1,1,0,1,0,1
-8.173931016320 s,0,0,0,1,1,1,0,0,1,1,0,1
-8.172931025360 s,0,0,0,0,0,1,0,0,0,1,0,1
-8.171931033920 s,1,1,0,0,0,1,0,0,0,0,0,1
-8.170931042160 s,1,1,1,1,0,0,0,0,0,1,1,0
-8.169931050800 s,0,0,1,0,0,1,0,1,0,0,1,0
-8.168931058800 s,0,1,1,1,0,1,1,0,0,0,1,0
-8.167931066960 s,0,0,0,1,1,1,1,0,1,0,1,0
-8.166931075360 s,1,1,0,1,1,1,1,0,1,1,1,0
-8.165931084080 s,0,1,1,0,0,1,0,1,1,0,0,1
-8.164931092800 s,1,0,0,0,1,0,0,0,1,1,0,1
-8.163931101040 s,1,1,0,1,0,1,0,0,1,1,0,1
-8.162931110000 s,0,0,0,0,0,0,0,0,0,1,0,1
-8.161931118240 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.160931126560 s,0,0,0,0,0,1,1,1,1,0,1,0
-8.159931135120 s,0,0,0,0,1,0,0,1,0,0,1,0
-8.158931143280 s,1,0,0,1,1,1,1,0,0,0,1,0
-8.157931151920 s,1,0,1,0,0,1,0,1,1,0,1,0
-8.156931159840 s,0,1,1,0,1,1,0,1,1,1,1,0
-8.155931168400 s,0,1,1,0,1,0,1,1,1,0,0,1
-8.154931177200 s,0,0,1,0,0,1,0,0,1,1,0,1
-8.153931185600 s,0,1,0,1,1,0,0,0,1,1,0,1
-8.152931193600 s,1,1,1,0,0,0,1,1,1,0,0,1
-8.151931202000 s,0,0,0,1,1,1,0,1,1,1,1,0
-8.150931210960 s,0,0,0,0,1,1,0,1,1,0,1,0
-8.149931219120 s,0,1,0,1,1,1,1,0,0,0,1,0
-8.148931228080 s,1,1,1,0,0,0,0,1,0,0,1,0
-8.147931236160 s,1,1,0,0,1,0,1,1,1,0,1,0
-8.146931243760 s,1,1,1,1,0,1,1,1,1,1,1,0
-8.145931253440 s,0,0,1,0,0,0,0,0,0,1,0,1
-8.144931261440 s,0,1,0,0,1,1,0,0,1,1,0,1
-8.143931270080 s,0,1,1,0,0,0,0,0,1,1,0,1
-8.142931278240 s,0,1,0,1,1,0,0,1,1,0,0,1
-8.141931286720 s,1,0,1,0,0,0,0,1,1,1,1,0
-8.140931295280 s,1,1,1,0,0,0,0,1,1,0,1,0
-8.139931303600 s,0,1,1,1,0,1,1,0,0,0,1,0
-8.138931312080 s,1,1,0,1,1,0,0,1,0,0,1,0
-8.137931320880 s,1,1,0,0,0,0,0,0,0,1,1,0
-8.136931329200 s,1,0,1,0,0,1,0,0,0,0,0,1
-8.135931337440 s,0,0,1,1,0,1,0,0,0,1,0,1
-8.134931345440 s,0,0,1,1,1,1,0,0,1,1,0,1
-8.133931353840 s,1,0,1,1,0,1,1,1,0,1,0,1
-8.132931362880 s,0,0,0,1,0,1,1,0,1,0,0,1
-8.131931371200 s,1,0,1,1,0,0,1,0,1,1,1,0
-8.130931379440 s,0,1,1,1,1,0,1,0,1,0,1,0
-8.129931388000 s,0,0,1,0,0,1,1,0,0,0,1,0
-8.128931396640 s,1,0,0,0,1,1,0,1,0,0,1,0
-8.127931405040 s,0,1,0,0,1,1,0,0,0,1,1,0
