"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930894320 s,0,1,0,0,0,1,0,1,1,1,1,0
-8.190930902560 s,1,1,0,1,0,1,1,0,1,1,1,0
-8.189930911360 s,0,0,1,0,0,0,1,0,1,1,1,0
-8.188930919600 s,1,0,1,0,0,1,0,0,1,1,1,0
-8.187930928080 s,0,0,1,1,1,0,0,0,1,1,1,0
-8.186930936720 s,1,1,0,0,0,1,0,0,1,1,1,0
-8.185930944800 s,0,1,0,1,1,1,0,0,1,1,1,0
-8.184930953360 s,0,1,0,0,0,1,1,0,1,1,1,0
-8.183930961840 s,1,1,1,0,1,0,0,1,1,1,1,0
-8.182930970240 s,1,0,0,0,1,0,1,1,1,1,1,0
-8.181930979120 s,0,1,1,0,0,0,0,0,0,0,0,1
-8.180930987360 s,0,1,1,0,1,1,0,0,0,0,0,1
-8.179930996160 s,0,0,0,0,0,1,1,0,0,0,0,1
-8.178931003840 s,1,1,1,0,1,1,1,0,0,0,0,1
-8.177931012320 s,1,1,1,1,1,1,1,0,0,0,0,1
-8.176931021040 s,0,0,1,0,1,1,1,0,0,0,0,1
-8.175931029680 s,1,0,0,1,1,0,1,0,0,0,0,1
-8.174931038160 s,1,0,1,1,0,1,0,0,0,0,0,1
-8.173931046880 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.172931054720 s,1,0,1,0,0,0,1,1,1,1,1,0
-8.171931063280 s,0,0,1,1,0,0,0,1,1,1,1,0
-8.170931071520 s,1,0,0,1,1,0,1,0,1,1,1,0
-8.169931079840 s,1,1,0,0,1,1,0,0,1,1,1,0
-8.168931088720 s,0,0,0,0,0,1,0,0,1,1,1,0
-8.167931097040 s,1,1,0,1,1,0,0,0,1,1,1,0
-8.166931105280 s,0,1,0,1,0,1,0,0,1,1,1,0
-8.165931113840 s,1,1,0,1,0,0,1,0,1,1,1,0
-8.164931121920 s,1,0,1,0,1,1,1,0,1,1,1,0
-8.163931130400 s,0,0,1,1,0,1,0,1,1,1,1,0
-8.162931138720 s,0,1,1,0,0,1,1,1,1,1,1,0
-8.161931147920 s,0,1,0,1,1,0,0,0,0,0,0,1
-8.160931156400 s,1,0,0,1,0,0,1,0,0,0,0,1
-8.159931164560 s,1,1,0,1,0,1,1,0,0,0,0,1
-8.158931172640 s,0,0,1,1,1,1,1,0,0,0,0,1
-8.157931181200 s,1,0,1,1,1,1,1,0,0,0,0,1
-8.156931189760 s,1,1,0,1,0,1,1,0,0,0,0,1
-8.155931198320 s,1,1,0,1,0,0,1,0,0,0,0,1
-8.154931206720 s,0,0,1,1,1,0,0,0,0,0,0,1
-8.153931214720 s,0,1,1,0,0,1,1,1,1,1,1,0
-8.152931223280 s,0,0,1,1,0,1,0,1,1,1,1,0
-8.151931231680 s,1,0,1,0,1,1,1,0,1,1,1,0
-8.150931240320 s,1,1,0,1,0,0,1,0,1,1,1,0
-8.149931248720 s,1,0,0,1,0,1,0,0,1,1,1,0
-8.148931257280 s,1,1,0,1,1,0,0,0,1,1,1,0
-8.147931265520 s,1,1,1,1,1,0,0,0,1,1,1,0
-8.146931274000 s,1,1,0,0,1,1,0,0,1,1,1,0
-8.145931282320 s,0,1,0,1,1,0,1,0,1,1,1,0
-8.144931290960 s,0,0,1,1,0,0,0,1,1,1,1,0
-8.143931299520 s,1,0,1,0,0,0,1,1,1,1,1,0
-8.142931307440 s,0,0,1,1,1,1,1,1,1,1,1,0
-8.141931316480 s,1,0,1,1,0,1,0,0,0,0,0,1
-8.140931324960 s,0,1,1,0,1,0,1,0,0,0,0,1
-8.139931333200 s,1,1,0,0,1,1,1,0,0,0,0,1
-8.138931342160 s,1,0,0,0,0,0,0,1,0,0,0,1
-8.137931350080 s,1,1,1,0,1,1,1,0,0,0,0,1
-8.136931358800 s,0,0,0,0,0,1,1,0,0,0,0,1
-8.135931367040 s,1,1,1,0,1,1,0,0,0,0,0,1
-8.134931375760 s,0,1,1,0,0,0,0,0,0,0,0,1
-8.133931383840 s,1,0,0,0,1,0,1,1,1,1,1,0
-8.132931392000 s,1,1,1,0,1,0,0,1,1,1,1,0
-8.131931400720 s,1,1,0,0,0,1,1,0,1,1,1,0
-8.130931408960 s,1,0,0,1,1,1,0,0,1,1,1,0
-8.129931417760 s,0,1,0,0,0,1,0,0,1,1,1,0
-8.128931426000 s,1,0,0,1,1,0,0,0,1,1,1,0
-8.127931434240 s,0,1,1,0,0,1,0,0,1,1,1,0
-8.126931442960 s,0,0,1,0,0,0,1,0,1,1,1,0
-8.125931451120 s,1,1,0,1,0,1,1,0,1,1,1,0
-8.124931459840 s,0,0,0,0,0,1,0,1,1,1,1,0
-8.123931467840 s,1,0,0,1,1,0,1,1,1,1,1,0
-8.122931476960 s,0,0,0,0,1,0,0,0,0,0,0,1
-8.121931485120 s,0,1,1,1,1,1,0,0,0,0,0,1
-8.120931493840 s,1,0,1,0,0,1,1,0,0,0,0,1
-8.119931501840 s,0,1,0,1,1,1,1,0,0,0,0,1
-8.118931510160 s,0,1,1,1,1,1,1,0,0,0,0,1
-8.117931518960 s,1,0,0,0,1,1,1,0,0,0,0,1
-8.116931527520 s,0,1,0,0,1,0,1,0,0,0,0,1
-8.115931535840 s,1,0,1,0,0,1,0,0,0,0,0,1
-8.114931543920 s,1,0,0,0,1,1,1,1,1,1,1,0
-8.113931552320 s,0,0,0,1,1,1,0,1,1,1,1,0
-8.112931561200 s,0,1,0,0,0,0,0,1,1,1,1,0
-8.111931569200 s,1,1,0,0,1,0,1,0,1,1,1,0
-8.110931577760 s,0,1,1,1,0,1,0,0,1,1,1,0
-8.109931586560 s,1,0,1,1,1,0,0,0,1,1,1,0
-8.108931594720 s,1,0,1,1,1,0,0,0,1,1,1,0
-8.107931602960 s,0,1,1,1,0,1,0,0,1,1,1,0
-8.106931611600 s,0,1,0,0,1,0,1,0,1,1,1,0
