"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930867280 s,0,1,1,1,1,0,1,1,1,1,1,0
-8.190930876560 s,0,0,0,0,0,0,1,1,1,1,1,0
-8.189930884960 s,0,0,0,0,1,0,1,1,1,1,1,0
-8.188930893360 s,1,0,0,1,0,0,1,1,1,1,1,0
-8.187930901760 s,1,0,1,0,0,0,1,1,1,1,1,0
-8.186930910000 s,0,0,0,0,1,0,1,1,1,1,1,0
-8.185930918400 s,0,0,0,1,1,1,0,1,1,1,1,0
-8.184930926720 s,0,1,0,1,1,0,1,1,1,1,1,0
-8.183930935280 s,1,1,0,1,0,1,0,1,1,1,1,0
-8.182930943520 s,1,1,0,0,0,1,1,1,1,1,1,0
-8.181930952720 s,0,0,0,0,0,1,0,1,1,1,1,0
-8.180930960480 s,0,1,0,1,0,1,1,1,1,1,1,0
-8.179930969200 s,0,0,0,1,1,0,0,1,1,1,1,0
-8.178930977280 s,1,1,0,0,1,1,1,1,1,1,1,0
-8.177930985920 s,0,1,1,1,0,0,0,1,1,1,1,0
-8.176930993920 s,0,0,1,1,1,1,1,1,1,1,1,0
-8.175931002960 s,1,1,1,0,0,0,0,1,1,1,1,0
-8.174931010800 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.173931020160 s,1,0,0,0,0,0,0,1,1,1,1,0
-8.172931028880 s,1,0,0,1,0,0,0,0,0,0,0,1
-8.171931036320 s,0,1,1,1,1,1,1,0,1,1,1,0
-8.170931045520 s,1,0,1,1,0,0,0,0,0,0,0,1
-8.169931053520 s,1,0,0,1,1,1,1,0,1,1,1,0
-8.168931062640 s,1,0,1,0,1,0,0,0,0,0,0,1
-8.167931070480 s,1,0,0,1,1,1,1,0,1,1,1,0
-8.166931079440 s,0,0,0,1,1,0,0,0,0,0,0,1
-8.165931086960 s,1,1,1,0,1,1,1,0,1,1,1,0
-8.164931096160 s,0,0,1,1,1,0,0,0,0,0,0,1
-8.163931103920 s,1,1,1,0,1,1,1,0,1,1,1,0
-8.162931112880 s,0,1,1,1,1,0,0,0,0,0,0,1
-8.161931121040 s,0,1,1,0,1,1,1,0,1,1,1,0
-8.160931130160 s,0,0,0,0,0,1,0,0,0,0,0,1
-8.159931137680 s,1,1,1,0,1,1,1,0,1,1,1,0
-8.158931146880 s,0,0,0,0,0,1,0,0,0,0,0,1
-8.157931154800 s,0,0,0,1,1,1,1,0,1,1,1,0
-8.156931163600 s,1,1,1,1,1,0,0,0,0,0,0,1
-8.155931171520 s,1,1,0,1,1,1,1,0,1,1,1,0
