"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930842640 s,1,1,0,1,0,1,1,0,1,1,1,0
-8.190930851360 s,0,0,0,1,1,1,0,1,1,0,1,0
-8.189930860240 s,1,1,0,0,0,0,0,1,0,0,1,0
-8.188930868320 s,1,0,1,0,1,0,0,1,1,1,1,0
-8.187930876640 s,0,1,0,1,1,0,1,0,1,1,0,1
-8.186930885120 s,0,1,0,1,1,0,0,1,1,0,1,1
-8.185930893680 s,1,1,0,0,1,1,0,1,1,1,1,0
-8.184930901200 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.183930910080 s,1,1,1,0,1,0,1,1,1,1,1,0
-8.182930919040 s,1,0,0,1,0,1,0,1,1,0,1,0
-8.181930927520 s,0,0,0,1,1,0,1,0,1,1,1,0
-8.180930935920 s,1,0,1,1,0,0,0,1,1,0,1,0
-8.179930944560 s,0,1,0,0,0,1,0,1,0,0,1,0
-8.178930952080 s,0,0,0,1,1,1,1,1,1,1,1,0
-8.177930960960 s,0,0,1,1,0,1,0,1,1,1,0,1
-8.176930969440 s,0,0,0,1,0,1,0,1,1,0,1,1
-8.175930977920 s,1,0,1,0,1,1,0,1,1,1,1,0
-8.174930985680 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.173930994560 s,1,1,0,1,1,1,1,0,1,1,1,0
-8.172931003760 s,0,0,1,0,1,0,0,0,0,1,1,0
-8.171931011680 s,0,1,0,1,1,1,0,0,1,1,1,0
-8.170931020240 s,0,0,1,1,1,0,1,0,1,0,1,0
-8.169931028960 s,1,0,1,1,0,0,1,1,0,0,1,0
-8.168931037280 s,1,1,0,1,1,0,1,0,0,0,0,1
-8.167931045200 s,1,0,1,0,1,1,1,1,1,1,0,1
-8.166931053680 s,1,1,0,1,1,0,0,1,1,0,1,1
-8.165931062160 s,1,1,1,0,1,1,0,1,1,1,1,0
-8.164931070080 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.163931079520 s,0,0,0,0,0,1,0,0,1,1,1,0
-8.162931088240 s,1,0,1,0,0,0,0,1,0,1,1,0
-8.161931096400 s,0,1,0,0,1,0,0,0,1,1,1,0
-8.160931104720 s,1,0,1,1,0,1,0,0,1,0,1,0
-8.159931113280 s,1,0,1,1,0,0,0,0,1,0,1,0
-8.158931121920 s,0,1,0,0,0,0,1,1,0,0,0,1
-8.157931130000 s,0,1,1,1,1,1,0,0,0,0,1,1
-8.156931138160 s,1,0,1,0,1,1,1,0,1,0,1,1
-8.155931146560 s,1,0,0,1,1,1,0,1,1,1,1,0
-8.154931154640 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.153931163760 s,0,1,1,0,0,0,1,1,0,1,1,0
-8.152931172400 s,0,0,1,0,0,1,1,1,0,1,1,0
-8.151931180560 s,1,0,1,1,1,0,1,1,0,1,1,0
-8.150931189600 s,1,0,0,0,0,0,0,0,1,0,1,0
-8.149931197760 s,0,0,1,1,1,0,1,0,1,0,1,0
-8.148931206160 s,1,0,1,0,0,1,0,0,1,0,0,1
-8.147931214720 s,1,0,1,0,0,0,0,1,0,0,1,1
-8.146931223040 s,0,0,1,0,0,1,0,0,1,0,1,1
-8.145931230960 s,1,1,0,1,1,1,0,1,1,1,1,0
-8.144931238960 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.143931247840 s,0,0,1,1,0,1,1,0,0,1,1,0
-8.142931256560 s,0,0,1,1,0,1,0,0,1,1,1,0
-8.141931265280 s,0,0,0,1,0,1,0,1,0,1,1,0
-8.140931273760 s,0,0,0,1,1,0,1,1,0,0,1,0
-8.139931281760 s,1,1,1,1,0,1,0,1,1,0,1,0
-8.138931290400 s,0,1,1,0,0,0,0,1,1,0,0,1
-8.137931299040 s,0,0,1,0,0,0,1,1,0,0,1,1
-8.136931306960 s,0,1,0,1,1,1,1,0,0,0,1,1
-8.135931315360 s,1,0,1,1,1,1,0,1,1,1,1,0
-8.134931324560 s,0,0,1,1,0,0,0,0,1,0,0,1
-8.133931332720 s,0,1,0,1,1,0,0,0,0,1,1,0
-8.132931340720 s,1,1,0,1,1,0,1,0,1,1,1,0
-8.131931349360 s,1,0,1,1,0,1,1,0,0,1,1,0
-8.130931358320 s,0,0,0,0,1,1,0,1,0,0,1,0
-8.129931366800 s,0,1,0,1,0,0,0,0,0,1,1,0
-8.128931374800 s,0,1,1,0,0,1,1,1,1,0,0,1
-8.127931382800 s,0,1,0,1,1,1,1,1,0,0,1,1
-8.126931391280 s,1,1,1,0,1,1,1,0,1,1,0,1
-8.125931400000 s,1,0,0,0,0,0,1,1,1,1,1,0
-8.124931408960 s,0,0,1,1,0,0,0,0,1,0,0,1
