"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191930905840 s,1,0,1,1,1,0,0,1,1,1,1,0
-8.190930914240 s,0,1,1,0,1,0,0,1,1,1,1,0
-8.189930922880 s,1,0,1,0,1,0,0,1,1,1,1,0
-8.188930931120 s,0,1,0,1,1,0,0,1,1,1,1,0
-8.187930939680 s,1,1,0,0,0,1,0,1,1,1,1,0
-8.186930948160 s,1,0,0,0,1,1,0,1,1,1,1,0
-8.185930956560 s,1,0,1,0,0,0,1,1,1,1,1,0
-8.184930964800 s,1,0,1,0,1,0,1,1,1,1,1,0
-8.183930973280 s,1,0,1,0,0,1,1,1,1,1,1,0
-8.182930981520 s,1,1,0,0,1,1,1,1,1,1,1,0
-8.181930989760 s,1,0,1,1,1,1,1,1,1,1,1,0
-8.180930999440 s,0,0,1,0,0,0,0,0,0,0,0,1
-8.179931007760 s,1,1,0,0,0,0,0,0,0,0,0,1
-8.178931016080 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.177931023360 s,0,1,1,0,1,1,1,1,1,1,1,0
-8.176931032160 s,1,1,1,0,0,1,1,1,1,1,1,0
-8.175931040480 s,0,1,1,0,1,0,1,1,1,1,1,0
-8.174931049600 s,1,1,0,0,0,0,1,1,1,1,1,0
-8.173931057680 s,1,0,0,0,1,1,0,1,1,1,1,0
-8.172931066080 s,0,0,1,0,0,1,0,1,1,1,1,0
-8.171931074480 s,0,1,0,1,1,0,0,1,1,1,1,0
-8.170931082720 s,0,1,1,0,1,0,0,1,1,1,1,0
-8.169931091440 s,1,0,1,0,1,0,0,1,1,1,1,0
-8.168931099600 s,1,0,1,1,1,0,0,1,1,1,1,0
-8.167931108480 s,0,0,0,1,0,1,0,1,1,1,1,0
-8.166931116480 s,1,1,1,0,1,1,0,1,1,1,1,0
-8.165931125040 s,0,1,0,1,0,0,1,1,1,1,1,0
-8.164931133040 s,0,0,1,1,1,0,1,1,1,1,1,0
-8.163931141840 s,0,1,0,1,0,1,1,1,1,1,1,0
-8.162931149920 s,1,1,1,0,1,1,1,1,1,1,1,0
-8.161931157920 s,1,1,1,1,1,1,1,1,1,1,1,0
-8.160931167760 s,0,0,1,0,0,0,0,0,0,0,0,1
-8.159931176320 s,1,1,0,0,0,0,0,0,0,0,0,1
-8.158931183680 s,1,1,0,1,1,1,1,1,1,1,1,0
-8.157931192000 s,1,1,1,1,0,1,1,1,1,1,1,0
-8.156931201200 s,1,0,0,0,0,1,1,1,1,1,1,0
-8.155931209120 s,1,1,1,1,0,0,1,1,1,1,1,0
-8.154931217520 s,0,1,0,1,1,1,0,1,1,1,1,0
-8.153931226160 s,0,0,1,1,0,1,0,1,1,1,1,0
-8.152931234400 s,0,1,1,1,1,0,0,1,1,1,1,0
-8.151931243280 s,1,0,1,0,1,0,0,1,1,1,1,0
-8.150931251200 s,0,1,1,0,1,0,0,1,1,1,1,0
-8.149931260080 s,1,0,0,1,1,0,0,1,1,1,1,0
-8.148931268720 s,1,0,0,0,0,1,0,1,1,1,1,0
-8.147931276880 s,1,0,1,1,0,1,0,1,1,1,1,0
-8.146931285040 s,1,0,1,1,1,1,0,1,1,1,1,0
-8.145931293520 s,0,1,0,0,1,0,1,1,1,1,1,0
-8.144931302000 s,1,1,0,0,0,1,1,1,1,1,1,0
-8.143931310400 s,0,0,0,0,1,1,1,1,1,1,1,0
-8.142931318320 s,1,1,0,1,1,1,1,1,1,1,1,0
-8.141931328240 s,1,1,0,0,0,0,0,0,0,0,0,1
-8.140931336400 s,1,0,1,0,0,0,0,0,0,0,0,1
-8.139931344880 s,0,1,0,0,0,0,0,0,0,0,0,1
-8.138931352400 s,0,0,0,1,1,1,1,1,1,1,1,0
-8.137931360880 s,1,1,0,1,0,1,1,1,1,1,1,0
-8.136931369600 s,1,0,0,1,1,0,1,1,1,1,1,0
-8.135931378320 s,0,0,0,1,0,0,1,1,1,1,1,0
-8.134931386400 s,1,0,1,0,1,1,0,1,1,1,1,0
-8.133931394800 s,0,1,1,0,0,1,0,1,1,1,1,0
-8.132931403040 s,0,0,1,1,1,0,0,1,1,1,1,0
-8.131931411440 s,1,1,1,0,1,0,0,1,1,1,1,0
-8.130931420160 s,0,1,1,0,1,0,0,1,1,1,1,0
-8.129931428480 s,1,1,0,1,1,0,0,1,1,1,1,0
-8.128931437200 s,1,0,1,0,0,1,0,1,1,1,1,0
-8.127931445200 s,1,1,0,0,1,1,0,1,1,1,1,0
-8.126931453760 s,0,1,1,0,0,0,1,1,1,1,1,0
-8.125931462480 s,1,0,0,1,1,0,1,1,1,1,1,0
-8.124931470720 s,0,0,0,1,0,1,1,1,1,1,1,0
-8.123931479040 s,1,0,1,0,1,1,1,1,1,1,1,0
-8.122931488160 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.121931496640 s,1,0,1,0,0,0,0,0,0,0,0,1
-8.120931505360 s,0,0,1,0,0,0,0,0,0,0,0,1
