"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191926264560 s,1,0,1,0,1,0,1,0,1,1,0,0
-8.190926273680 s,0,1,0,0,1,0,0,0,0,0,1,1
-8.189926282320 s,1,1,1,0,0,1,0,1,1,1,0,0
-8.188926291280 s,0,0,0,1,1,1,0,1,1,1,0,1
-8.187926301200 s,0,1,0,1,0,0,0,0,0,0,1,0
-8.186926309600 s,1,0,1,0,1,0,1,0,1,1,0,1
-8.185926318720 s,1,0,0,0,1,1,1,0,0,0,1,0
-8.184926327440 s,0,1,0,0,0,1,1,1,0,1,0,1
-8.183926336320 s,0,1,0,1,0,1,1,1,0,0,1,0
-8.182926345280 s,0,1,1,0,0,1,1,0,0,1,0,1
-8.181926354480 s,0,1,0,1,0,1,1,0,1,0,1,0
-8.180926363440 s,1,1,0,0,0,1,1,1,1,0,0,1
-8.179926372400 s,1,0,0,0,1,1,1,1,1,0,1,0
-8.178926381520 s,0,1,1,0,1,0,1,0,1,0,0,1
-8.177926390720 s,1,1,0,0,0,0,0,1,0,1,1,0
-8.176926399680 s,1,1,1,0,0,0,1,1,0,0,0,1
-8.175926408400 s,1,0,1,0,1,0,0,0,1,1,1,0
-8.174926417440 s,1,1,1,1,0,1,0,0,0,0,0,1
-8.173926426400 s,1,1,0,1,0,1,0,1,1,1,1,0
-8.172926435120 s,1,0,1,1,1,0,0,1,1,1,1,0
-8.171926444560 s,0,0,1,1,1,1,0,0,0,0,0,1
-8.170926453520 s,1,1,0,1,0,0,0,0,1,1,1,0
-8.169926462720 s,0,1,0,0,1,0,1,1,0,0,0,1
-8.168926471440 s,1,0,1,0,1,1,1,0,0,1,1,0
-8.167926480400 s,1,1,0,0,0,1,1,0,1,0,0,1
-8.166926489520 s,0,0,0,1,0,1,1,1,1,0,1,0
-8.165926498320 s,1,0,1,1,0,1,1,1,1,0,0,1
-8.164926507760 s,1,0,0,0,0,1,1,0,1,0,1,0
-8.163926516160 s,1,1,1,1,0,1,1,0,0,1,0,1
-8.162926525120 s,1,1,1,1,1,0,1,1,0,0,1,0
-8.161926534400 s,1,1,0,1,0,1,1,1,0,1,0,1
-8.160926543760 s,1,0,0,1,0,1,1,0,0,0,1,0
-8.159926552400 s,0,0,1,1,1,0,1,0,1,1,0,1
-8.158926561840 s,0,1,0,0,0,0,0,0,0,0,1,0
-8.157926570640 s,1,1,0,0,0,0,1,1,1,1,0,1
-8.156926579680 s,1,0,0,0,0,1,0,1,1,1,0,0
-8.155926588480 s,1,1,0,1,1,0,0,0,0,0,1,1
-8.154926598000 s,1,0,0,0,1,0,1,0,1,1,0,0
-8.153926606640 s,1,1,0,0,0,1,1,0,0,0,1,1
-8.152926615680 s,0,1,1,1,0,0,0,0,1,1,0,0
-8.151926624400 s,0,1,1,1,1,0,0,1,0,0,1,1
-8.150926633360 s,0,1,0,1,1,0,1,1,0,1,0,0
-8.149926642400 s,0,0,1,1,0,0,1,1,0,0,1,1
-8.148926651840 s,1,0,1,0,1,1,0,1,0,1,0,0
-8.147926660560 s,0,0,1,0,0,1,1,1,0,0,1,1
-8.146926669680 s,0,0,1,0,0,1,0,1,0,1,0,0
-8.145926678000 s,0,1,1,1,0,1,1,1,0,0,1,1
-8.144926687840 s,0,1,0,0,0,1,0,1,0,1,0,0
-8.143926696320 s,0,1,1,0,0,1,1,1,0,0,1,1
-8.142926705840 s,1,0,0,0,1,1,0,1,0,1,0,0
-8.141926714480 s,0,1,0,0,1,0,1,1,0,0,1,1
-8.140926723680 s,0,1,0,0,1,0,1,1,0,1,0,0
-8.139926732560 s,1,0,1,0,0,1,0,1,0,0,1,1
-8.138926742000 s,0,0,1,0,0,0,0,0,1,1,0,0
-8.137926750240 s,1,1,1,1,0,1,1,0,0,0,1,1
-8.136926759840 s,1,1,0,0,0,0,1,0,1,1,0,0
-8.135926768720 s,0,0,0,1,0,1,0,0,0,0,1,1
-8.134926777440 s,1,1,1,1,0,0,0,1,1,1,0,0
-8.133926786400 s,0,0,1,0,1,0,1,1,1,1,0,1
-8.132926795280 s,1,0,1,1,0,1,1,1,1,1,0,0
-8.131926804240 s,1,1,1,1,0,1,1,0,1,1,0,1
-8.130926814000 s,0,0,1,0,1,0,1,0,0,0,1,0
-8.129926822800 s,0,0,1,0,0,0,0,0,1,1,0,1
-8.128926831280 s,1,1,0,1,0,0,1,1,0,0,1,0
-8.127926840640 s,0,0,1,1,0,0,0,1,0,1,0,1
-8.126926849840 s,0,0,0,1,0,0,1,0,1,0,1,0
-8.125926858720 s,1,0,0,1,0,0,0,0,0,1,0,1
-8.124926867200 s,0,1,1,1,0,0,1,1,1,0,1,0
-8.123926876160 s,0,0,1,1,1,1,1,0,1,0,0,1
-8.122926885520 s,1,1,0,1,1,0,1,0,0,1,1,0
-8.121926894400 s,1,0,1,1,0,1,1,1,0,0,0,1
-8.120926903280 s,0,0,1,1,0,1,1,1,0,1,1,0
-8.119926912640 s,1,1,0,1,1,0,1,0,0,0,0,1
-8.118926921760 s,0,1,0,0,0,0,0,1,1,1,1,0
-8.117926930480 s,1,1,1,0,0,0,1,1,1,1,1,0
-8.116926939840 s,0,0,1,0,1,0,0,0,0,0,0,1
-8.115926948720 s,1,0,0,0,1,1,0,0,1,1,1,0
-8.114926957520 s,1,1,1,0,0,1,0,1,0,0,0,1
-8.113926966080 s,1,1,1,1,1,0,0,1,0,1,1,0
-8.112926975680 s,0,0,0,1,1,1,0,0,1,0,0,1
-8.111926984880 s,1,0,0,0,1,0,0,0,0,1,1,0
-8.110926993520 s,1,1,1,0,0,0,1,1,1,0,0,1
-8.109927002800 s,1,1,1,0,0,0,0,1,1,0,1,0
-8.108927011760 s,1,0,1,1,0,0,1,0,0,1,0,1
-8.107927020720 s,1,0,1,0,0,0,0,0,1,0,1,0
-8.106927029440 s,0,0,1,1,0,0,1,1,0,1,0,1
-8.105927038720 s,0,0,1,1,0,0,0,1,0,0,1,0
-8.104927047360 s,1,0,1,1,1,1,0,0,1,1,0,1
-8.103927056800 s,1,0,1,1,1,0,0,0,0,0,1,0
-8.102927065520 s,0,0,0,1,0,1,0,1,1,1,0,1
-8.101927074320 s,1,0,0,1,1,1,0,1,1,1,0,0
-8.100927083760 s,0,1,1,0,0,0,0,0,0,0,1,1
-8.099927092640 s,1,0,1,0,0,1,1,0,1,1,0,0
-8.098927101840 s,0,0,0,0,1,0,1,0,0,0,1,1
-8.097927110480 s,0,1,1,1,1,0,0,0,1,1,0,0
-8.096927119840 s,0,0,0,0,1,0,0,1,0,0,1,1
