"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191926224240 s,1,0,0,0,1,1,0,0,1,0,1,0
-8.190926233360 s,0,1,0,1,0,0,1,0,0,1,0,1
-8.189926242000 s,1,0,1,1,1,0,1,0,1,0,1,0
-8.188926251200 s,0,1,0,1,1,0,0,0,0,1,0,1
-8.187926260560 s,1,0,0,0,1,0,0,1,1,0,1,0
-8.186926268880 s,0,1,1,0,0,1,1,1,1,0,0,1
-8.185926278160 s,1,1,0,1,0,0,1,1,1,0,1,0
-8.184926287120 s,0,1,1,0,0,1,0,1,1,0,0,1
-8.183926296240 s,1,0,1,1,0,0,0,0,0,1,1,0
-8.182926305040 s,1,1,0,0,0,1,1,0,1,0,0,1
-8.181926314320 s,1,1,0,0,1,0,1,0,0,1,1,0
-8.180926323440 s,1,1,0,1,1,0,0,0,1,0,0,1
-8.179926332320 s,1,0,1,1,1,0,0,1,0,1,1,0
-8.178926340960 s,1,1,1,1,0,0,1,1,0,0,0,1
-8.177926350080 s,1,1,0,1,0,1,1,1,0,1,1,0
-8.176926358880 s,0,0,1,1,1,1,1,0,0,0,0,1
-8.175926367920 s,1,1,0,1,1,1,0,0,1,1,1,0
-8.174926377520 s,1,0,0,1,0,1,0,0,0,0,0,1
-8.173926386480 s,1,0,0,0,1,0,0,1,1,1,1,0
-8.172926394800 s,0,0,0,1,1,0,1,1,1,1,1,0
-8.171926404080 s,0,0,1,0,0,1,1,1,1,1,1,0
-8.170926413360 s,0,1,1,0,0,0,0,1,1,1,1,0
-8.169926422560 s,1,0,1,0,1,1,0,0,0,0,0,1
-8.168926431040 s,1,1,1,1,0,1,0,0,1,1,1,0
-8.167926440480 s,0,1,0,1,0,0,0,1,0,0,0,1
-8.166926449200 s,0,0,0,0,0,1,1,1,0,1,1,0
-8.165926458480 s,0,0,0,1,1,0,1,1,0,0,0,1
-8.164926467520 s,0,1,0,0,1,0,0,1,0,1,1,0
