"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191926220320 s,0,0,1,0,0,0,1,0,1,0,0,1
-8.190926229040 s,1,0,1,0,0,0,1,0,0,1,1,0
-8.189926237600 s,0,1,1,0,1,0,1,0,1,0,0,1
-8.188926246960 s,1,1,0,0,1,1,0,0,0,1,1,0
-8.187926256080 s,1,0,0,0,0,1,1,0,1,0,0,1
-8.186926265280 s,0,1,0,1,0,1,0,0,0,1,1,0
-8.185926274000 s,1,0,0,1,0,1,1,0,1,0,0,1
-8.184926283280 s,0,0,1,0,0,1,0,0,0,1,1,0
-8.183926292000 s,0,0,1,1,0,1,1,0,1,0,0,1
-8.182926301120 s,1,0,1,0,0,1,0,0,0,1,1,0
-8.181926309760 s,1,1,1,0,0,1,1,0,1,0,0,1
-8.180926319040 s,1,0,0,1,0,1,0,0,0,1,1,0
-8.179926328240 s,0,1,0,0,0,1,1,0,1,0,0,1
-8.178926337040 s,1,1,0,0,1,1,0,0,0,1,1,0
-8.177926346240 s,0,0,1,0,1,0,1,0,1,0,0,1
-8.176926355120 s,0,1,1,0,0,0,1,0,0,1,1,0
-8.175926364400 s,1,1,0,0,0,0,1,0,1,0,0,1
-8.174926373040 s,0,1,0,1,1,0,1,0,0,1,1,0
-8.173926382320 s,1,1,0,1,0,1,0,0,1,0,0,1
-8.172926391280 s,1,0,0,0,1,1,1,0,0,1,1,0
-8.171926400480 s,0,0,0,0,1,0,0,0,1,0,0,1
-8.170926409200 s,1,0,0,0,1,0,0,1,0,1,1,0
-8.169926418000 s,0,1,1,1,0,1,1,1,0,0,0,1
-8.168926427200 s,1,0,0,0,1,1,0,1,0,1,1,0
-8.167926436080 s,0,1,1,1,0,0,1,1,0,0,0,1
-8.166926444960 s,0,0,0,1,1,0,1,1,0,1,1,0
-8.165926454480 s,1,1,0,0,0,1,0,1,0,0,0,1
-8.164926463760 s,1,0,0,0,0,0,0,0,1,1,1,0
-8.163926472160 s,1,0,0,1,1,1,1,0,0,0,0,1
-8.162926481280 s,0,0,1,1,0,1,0,0,1,1,1,0
-8.161926490160 s,0,1,1,1,0,0,1,0,0,0,0,1
-8.160926498960 s,0,1,0,1,1,0,1,0,1,1,1,0
-8.159926508560 s,1,0,0,0,0,1,0,0,0,0,0,1
-8.158926517120 s,1,1,1,0,0,0,0,1,1,1,1,0
-8.157926525920 s,0,0,1,0,1,1,1,1,1,1,1,0
-8.156926534800 s,0,1,1,0,1,1,0,1,1,1,1,0
-8.155926543840 s,0,1,1,0,0,0,1,1,1,1,1,0
-8.154926552720 s,0,1,1,0,0,1,1,1,1,1,1,0
-8.153926562080 s,0,1,1,0,1,0,0,1,1,1,1,0
-8.152926571600 s,1,1,0,0,1,0,0,0,0,0,0,1
-8.151926579920 s,0,1,1,0,0,1,1,0,1,1,1,0
-8.150926589600 s,0,1,0,0,0,0,1,0,0,0,0,1
-8.149926597840 s,1,1,1,0,1,1,0,0,1,1,1,0
-8.148926607360 s,0,1,1,1,0,1,1,0,0,0,0,1
-8.147926616480 s,1,0,1,1,0,0,0,0,1,1,1,0
-8.146926625520 s,1,0,0,1,1,0,0,1,0,0,0,1
-8.145926634160 s,0,0,1,0,0,1,1,1,0,1,1,0
-8.144926643600 s,0,1,0,0,0,0,1,1,0,0,0,1
-8.143926652000 s,0,1,0,1,1,1,0,1,0,1,1,0
-8.142926661520 s,1,0,1,0,0,1,1,1,0,0,0,1
-8.141926670240 s,1,0,0,1,1,0,0,1,0,1,1,0
-8.140926679520 s,0,1,1,0,0,0,0,0,1,0,0,1
-8.139926688320 s,1,0,0,1,1,1,1,0,0,1,1,0
-8.138926697520 s,0,1,0,0,0,1,0,0,1,0,0,1
-8.137926706080 s,1,1,1,1,1,0,1,0,0,1,1,0
-8.136926715360 s,0,0,1,1,1,1,0,0,1,0,0,1
-8.135926724400 s,1,1,0,1,0,0,1,0,0,1,1,0
-8.134926733520 s,1,0,0,0,1,0,1,0,1,0,0,1
-8.133926742320 s,1,1,1,0,1,1,0,0,0,1,1,0
-8.132926751120 s,0,1,1,1,1,0,1,0,1,0,0,1
-8.131926760640 s,0,0,1,1,0,1,0,0,0,1,1,0
-8.130926769360 s,1,1,1,0,0,1,1,0,1,0,0,1
-8.129926778480 s,0,1,1,0,0,1,0,0,0,1,1,0
-8.128926787520 s,1,0,1,1,0,1,1,0,1,0,0,1
-8.127926796560 s,0,0,1,0,0,1,0,0,0,1,1,0
-8.126926805360 s,0,1,0,1,0,1,1,0,1,0,0,1
-8.125926814640 s,1,1,1,0,0,1,0,0,0,1,1,0
-8.124926823600 s,1,1,0,0,0,1,1,0,1,0,0,1
-8.123926832720 s,1,0,0,0,1,1,0,0,0,1,1,0
-8.122926841360 s,0,1,0,1,1,0,1,0,1,0,0,1
-8.121926850320 s,0,0,1,1,1,1,0,0,0,1,1,0
-8.120926859840 s,1,0,0,1,0,0,1,0,1,0,0,1
-8.119926868640 s,1,1,0,0,1,0,1,0,0,1,1,0
-8.118926877680 s,1,0,0,0,1,1,0,0,1,0,0,1
-8.117926886240 s,1,1,0,1,0,1,1,0,0,1,1,0
-8.116926895680 s,1,1,1,0,1,0,0,0,1,0,0,1
-8.115926904720 s,1,0,0,1,0,0,0,1,0,1,1,0
-8.114926913760 s,0,0,0,1,1,1,1,1,0,0,0,1
-8.113926922720 s,0,0,0,1,0,1,0,1,0,1,1,0
-8.112926931280 s,0,1,1,0,1,0,1,1,0,0,0,1
-8.111926940400 s,0,1,1,1,0,0,1,1,0,1,1,0
-8.110926949360 s,1,1,1,1,0,1,0,1,0,0,0,1
-8.109926958480 s,1,1,0,0,1,1,1,1,0,1,1,0
-8.108926967920 s,0,0,0,1,0,0,0,1,0,0,0,1
-8.107926976320 s,0,1,1,1,1,0,0,0,1,1,1,0
-8.106926985760 s,0,0,1,1,1,0,1,0,0,0,0,1
-8.105926994560 s,1,1,0,1,0,0,1,0,1,1,1,0
-8.104927004000 s,0,0,1,1,0,1,0,0,0,0,0,1
-8.103927012320 s,1,1,1,0,1,1,1,0,1,1,1,0
-8.102927022240 s,1,0,0,0,0,0,0,0,0,0,0,1
-8.101927030320 s,0,1,0,1,0,1,0,1,1,1,1,0
-8.100927039200 s,1,1,0,0,1,0,1,1,1,1,1,0
-8.099927048080 s,1,0,0,1,1,0,1,1,1,1,1,0
-8.098927057760 s,0,1,0,0,0,1,0,1,1,1,1,0
-8.097927067040 s,1,1,1,0,0,0,0,0,0,0,0,1
-8.096927075360 s,0,0,1,0,1,1,1,0,1,1,1,0
-8.095927084720 s,1,0,1,0,1,1,0,0,0,0,0,1
-8.094927093520 s,1,1,1,0,0,0,1,0,1,1,1,0
-8.093927103040 s,1,1,0,0,0,1,1,0,0,0,0,1
-8.092927112000 s,0,0,0,1,1,0,0,0,1,1,1,0
-8.091927120640 s,0,1,1,1,0,0,0,1,0,0,0,1
-8.090927129120 s,1,0,1,1,0,1,1,1,0,1,1,0
-8.089927138560 s,1,1,0,0,1,1,0,1,0,0,0,1
-8.088927147680 s,0,0,0,1,0,0,1,1,0,1,1,0
-8.087927156480 s,0,0,1,1,1,0,1,1,0,0,0,1
-8.086927166000 s,0,0,1,0,0,1,0,1,0,1,1,0
-8.085927174640 s,0,1,0,1,1,1,1,1,0,0,0,1
-8.084927183920 s,0,0,1,0,0,0,0,1,0,1,1,0
-8.083927192880 s,0,1,0,1,1,0,0,0,1,0,0,1
-8.082927201760 s,1,1,1,0,0,1,1,0,0,1,1,0
-8.081927210720 s,0,1,1,0,1,1,0,0,1,0,0,1
-8.080927220240 s,0,0,0,0,1,0,1,0,0,1,1,0
-8.079927228800 s,0,0,1,1,0,0,1,0,1,0,0,1
-8.078927237680 s,1,1,0,1,1,1,0,0,0,1,1,0
-8.077927246720 s,1,1,0,1,1,0,1,0,1,0,0,1
-8.076927255920 s,1,0,1,1,0,1,0,0,0,1,1,0
-8.075927264720 s,0,1,1,0,0,1,1,0,1,0,0,1
-8.074927274080 s,1,1,1,0,0,1,0,0,0,1,1,0
-8.073927282800 s,1,1,0,1,0,1,1,0,1,0,0,1
-8.072927292240 s,0,0,1,0,0,1,0,0,0,1,1,0
-8.071927300720 s,0,0,1,1,0,1,1,0,1,0,0,1
-8.070927310000 s,0,1,1,0,0,1,0,0,0,1,1,0
-8.069927318800 s,0,1,1,0,0,1,1,0,1,0,0,1
-8.068927327760 s,0,1,1,1,0,1,0,0,0,1,1,0
-8.067927336720 s,1,0,1,1,1,0,1,0,1,0,0,1
-8.066927345840 s,0,0,0,1,1,1,0,0,0,1,1,0
-8.065927354720 s,1,1,1,1,0,0,1,0,1,0,0,1
-8.064927364000 s,0,1,1,1,0,0,1,0,0,1,1,0
-8.063927372800 s,1,1,1,0,1,1,0,0,1,0,0,1
-8.062927381760 s,0,0,1,0,0,1,1,0,0,1,1,0
-8.061927390640 s,1,1,1,1,1,0,0,0,1,0,0,1
-8.060927399520 s,0,1,1,1,1,1,1,0,0,1,1,0
-8.059927409200 s,1,1,0,0,0,0,0,0,1,0,0,1
-8.058927417520 s,1,1,1,1,1,0,0,1,0,1,1,0
-8.057927426720 s,1,1,1,1,1,0,1,1,0,0,0,1
-8.056927435920 s,0,0,1,0,0,0,1,1,0,1,1,0
-8.055927445120 s,0,0,0,1,1,1,0,1,0,0,0,1
-8.054927454080 s,1,0,0,1,0,1,1,1,0,1,1,0
-8.053927463280 s,0,1,0,0,1,0,0,1,0,0,0,1
-8.052927472080 s,0,0,1,0,1,0,0,0,1,1,1,0
-8.051927481200 s,1,0,1,0,0,1,1,0,0,0,0,1
-8.050927490240 s,0,0,0,0,0,0,1,0,1,1,1,0
-8.049927499280 s,0,0,0,1,1,1,0,0,0,0,0,1
-8.048927507920 s,0,0,1,1,0,1,1,0,1,1,1,0
-8.047927517280 s,0,0,1,1,0,0,0,0,0,0,0,1
-8.046927525840 s,1,1,0,1,1,0,0,1,1,1,1,0
-8.045927534400 s,0,1,1,1,1,0,1,1,1,1,1,0
-8.044927543760 s,1,0,1,1,0,0,1,1,1,1,1,0
-8.043927552400 s,1,1,1,1,0,1,0,1,1,1,1,0
-8.042927561520 s,1,1,0,1,1,1,1,1,1,1,1,0
-8.041927571360 s,1,0,0,0,0,0,0,1,1,1,1,0
-8.040927580320 s,1,1,1,0,0,1,0,0,0,0,0,1
-8.039927588880 s,0,1,0,0,1,0,1,0,1,1,1,0
-8.038927598080 s,0,1,1,0,1,0,1,0,0,0,0,1
-8.037927607120 s,0,0,1,0,0,1,0,0,1,1,1,0
-8.036927616480 s,0,1,0,0,0,0,0,1,0,0,0,1
-8.035927624640 s,0,1,0,1,1,1,1,1,0,1,1,0
-8.034927634160 s,0,0,1,1,0,1,0,1,0,0,0,1
-8.033927642960 s,1,1,0,0,1,0,1,1,0,1,1,0
-8.032927652400 s,1,1,0,0,1,0,1,1,0,0,0,1
-8.031927661200 s,0,0,1,1,0,1,0,1,0,1,1,0
-8.030927670240 s,0,0,1,0,1,1,1,1,0,0,0,1
-8.029927679040 s,1,0,1,1,0,0,0,1,0,1,1,0
-8.028927688480 s,0,0,1,0,1,0,0,0,1,0,0,1
-8.027927697040 s,0,1,1,1,0,1,1,0,0,1,1,0
-8.026927706240 s,0,1,1,1,0,1,0,0,1,0,0,1
-8.025927715120 s,0,1,1,0,1,0,1,0,0,1,1,0
-8.024927724160 s,1,1,1,0,0,0,1,0,1,0,0,1
-8.023927733280 s,0,1,0,0,0,0,1,0,0,1,1,0
-8.022927742240 s,0,0,0,1,1,0,1,0,1,0,0,1
-8.021927751520 s,1,0,0,0,1,1,0,0,0,1,1,0
-8.020927760320 s,0,0,1,0,0,1,1,0,1,0,0,1
-8.019927769440 s,1,0,0,1,0,1,0,0,0,1,1,0
-8.018927778240 s,1,0,0,1,0,1,1,0,1,0,0,1
-8.017927787680 s,1,0,1,0,0,1,0,0,0,1,1,0
-8.016927795920 s,0,0,1,1,0,1,1,0,1,0,0,1
-8.015927805280 s,0,1,1,0,0,1,0,0,0,1,1,0
-8.014927814160 s,0,1,0,1,0,1,1,0,1,0,0,1
-8.013927823280 s,1,1,0,1,0,1,0,0,0,1,1,0
-8.012927832000 s,1,1,1,1,1,0,1,0,1,0,0,1
-8.011927841520 s,1,0,1,0,1,1,0,0,0,1,1,0
-8.010927850480 s,1,0,0,0,1,0,1,0,1,0,0,1
-8.009927859520 s,1,0,0,1,0,0,1,0,0,1,1,0
-8.008927868080 s,0,0,1,1,1,1,0,0,1,0,0,1
-8.007927877120 s,0,1,1,1,1,0,1,0,0,1,1,0
-8.006927886240 s,1,1,1,0,0,1,0,0,1,0,0,1
-8.005927894880 s,1,1,1,0,1,1,1,0,0,1,1,0
-8.004927904480 s,0,0,1,1,0,0,0,0,1,0,0,1
-8.003927913360 s,1,0,1,0,1,0,0,1,0,1,1,0
-8.002927922320 s,1,0,0,1,0,1,1,1,0,0,0,1
-8.001927930960 s,1,1,1,0,1,1,0,1,0,1,1,0
-8.000927940400 s,0,1,1,0,0,0,1,1,0,0,0,1
-7.999927948960 s,0,1,1,1,1,0,1,1,0,1,1,0
-7.998927958240 s,1,0,1,1,1,0,0,1,0,0,0,1
-7.997927967600 s,0,0,0,1,0,0,0,0,1,1,1,0
-7.996927976480 s,1,1,0,0,1,1,1,0,0,0,0,1
-7.995927985280 s,1,0,0,0,1,1,0,0,1,1,1,0
-7.994927994400 s,0,1,1,0,0,0,1,0,0,0,0,1
-7.993928003520 s,0,0,0,0,0,1,1,0,1,1,1,0
-7.992928012480 s,0,0,0,1,1,0,0,0,0,0,0,1
-7.991928021520 s,0,0,0,0,1,0,0,1,1,1,1,0
-7.990928029840 s,1,1,0,1,0,1,1,1,1,1,1,0
-7.989928039360 s,0,0,0,0,0,0,1,1,1,1,1,0
-7.988928048160 s,1,0,1,1,1,1,0,1,1,1,1,0
-7.987928057040 s,1,0,1,1,0,1,1,1,1,1,1,0
-7.986928066240 s,1,1,1,1,0,0,0,1,1,1,1,0
-7.985928075760 s,0,1,0,1,1,0,0,0,0,0,0,1
-7.984928083840 s,1,1,1,1,1,0,1,0,1,1,1,0
-7.983928093840 s,1,0,0,1,0,0,1,0,0,0,0,1
-7.982928102640 s,0,0,0,0,1,1,0,0,1,1,1,0
-7.981928111360 s,1,1,0,0,1,1,1,0,0,0,0,1
-7.980928120480 s,0,1,1,0,0,0,0,0,1,1,1,0
-7.979928129360 s,1,1,1,1,1,0,0,1,0,0,0,1
-7.978928138080 s,1,0,1,1,1,0,1,1,0,1,1,0
-7.977928147680 s,0,0,0,1,0,0,1,1,0,0,0,1
-7.976928156400 s,1,0,1,0,1,1,0,1,0,1,1,0
-7.975928165440 s,0,1,0,1,0,1,1,1,0,0,0,1
-7.974928174560 s,0,1,1,0,1,0,0,1,0,1,1,0
-7.973928183760 s,0,0,1,1,0,0,0,0,1,0,0,1
-7.972928192320 s,1,0,1,0,1,1,1,0,0,1,1,0
-7.971928201840 s,0,0,0,1,0,1,0,0,1,0,0,1
-7.970928210560 s,1,1,0,1,1,0,1,0,0,1,1,0
-7.969928219360 s,1,1,0,1,1,1,0,0,1,0,0,1
-7.968928228560 s,0,0,0,1,0,0,1,0,0,1,1,0
-7.967928237680 s,0,1,0,0,1,0,1,0,1,0,0,1
-7.966928246640 s,0,1,1,0,1,1,0,0,0,1,1,0
-7.965928255360 s,1,1,1,1,1,0,1,0,1,0,0,1
-7.964928264640 s,0,1,0,1,0,1,0,0,0,1,1,0
-7.963928273440 s,1,0,0,1,0,1,1,0,1,0,0,1
-7.962928282800 s,0,0,1,0,0,1,0,0,0,1,1,0
-7.961928291440 s,0,0,1,1,0,1,1,0,1,0,0,1
-7.960928300640 s,1,1,0,0,0,1,0,0,0,1,1,0
-7.959928309600 s,1,0,0,1,0,1,1,0,1,0,0,1
-7.958928318640 s,1,0,0,1,0,1,0,0,0,1,1,0
-7.957928327680 s,0,1,0,0,0,1,1,0,1,0,0,1
-7.956928336720 s,1,0,0,0,1,1,0,0,0,1,1,0
