"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191925305760 s,0,0,1,0,1,0,1,1,1,1,1,1
-8.190925315120 s,1,1,1,1,1,1,1,0,0,1,0,0
-8.189925324720 s,0,0,1,0,1,0,1,0,0,1,0,0
-8.188925333840 s,0,0,0,0,0,0,0,0,0,1,1,1
-8.187925341760 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.186925351440 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.185925360960 s,1,0,1,0,1,1,1,0,0,1,0,0
-8.184925370800 s,0,0,0,0,0,0,0,0,0,1,1,1
-8.183925378400 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.182925388000 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.181925397360 s,1,1,1,0,1,0,0,1,0,1,0,0
-8.180925406960 s,0,0,0,0,0,0,0,0,1,0,1,1
-8.179925414560 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.178925424480 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.177925433920 s,1,0,1,0,1,1,0,1,0,1,0,0
-8.176925443360 s,0,0,0,0,0,0,0,0,1,0,1,1
-8.175925451040 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.174925460880 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.173925470240 s,0,1,1,1,1,0,1,1,0,1,0,0
-8.172925480000 s,0,0,0,0,0,0,0,0,1,0,1,1
-8.171925487680 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.170925497440 s,1,1,1,1,1,1,1,1,0,0,0,0
-8.169925507040 s,0,1,1,0,0,0,0,0,1,1,0,0
-8.168925516640 s,0,0,0,0,0,0,0,0,1,0,1,1
-8.167925524240 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.166925534080 s,1,1,1,1,1,1,1,1,0,0,0,0
-8.165925543360 s,0,1,0,1,0,1,0,0,1,1,0,0
-8.164925552800 s,0,0,0,0,0,0,0,0,0,0,1,1
-8.163925560480 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.162925570480 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.161925579760 s,0,1,0,0,1,0,1,0,1,1,0,0
-8.160925589600 s,0,0,0,0,0,0,0,0,0,0,1,1
-8.159925597040 s,1,1,1,1,1,1,1,1,1,1,1,1
-8.158925606640 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.157925616160 s,0,1,1,0,1,1,1,0,1,1,0,0
-8.156925625840 s,0,0,0,0,0,0,0,0,0,0,1,1
-8.155925634000 s,1,0,0,1,1,1,0,1,1,1,1,1
-8.154925643120 s,1,1,1,1,1,1,1,1,1,0,0,0
-8.153925652800 s,1,0,0,1,1,0,0,1,1,1,0,0
-8.152925662320 s,0,0,0,0,0,0,0,0,0,0,1,1
-8.151925671200 s,0,0,0,0,0,0,0,1,1,1,1,1
-8.150925679600 s,0,1,1,1,1,1,1,1,1,1,0,0
-8.149925689040 s,0,1,0,0,1,1,0,1,1,1,0,0
-8.148925698800 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.147925707120 s,0,1,0,0,1,1,0,0,1,1,1,1
-8.146925715840 s,0,1,1,1,1,1,1,1,1,1,0,0
