"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191925286160 s,0,1,0,1,1,1,0,1,1,1,1,0
-8.190925295520 s,1,1,0,1,1,0,0,1,1,1,1,0
-8.189925304640 s,1,1,0,0,0,0,0,1,1,1,1,0
-8.188925313760 s,0,0,1,1,0,1,1,0,1,1,1,0
-8.187925322960 s,0,0,1,0,0,1,1,0,1,1,1,0
-8.186925331920 s,1,0,1,0,0,1,1,0,1,1,1,0
-8.185925340880 s,1,1,1,1,0,1,1,0,1,1,1,0
-8.184925350400 s,0,1,1,0,0,0,0,1,1,1,1,0
-8.183925359040 s,1,1,1,1,1,0,0,1,1,1,1,0
-8.182925368160 s,1,0,1,1,1,1,0,1,1,1,1,0
-8.181925377280 s,1,0,1,1,1,0,1,1,1,1,1,0
-8.180925386080 s,1,0,1,1,1,1,1,1,1,1,1,0
-8.179925396320 s,1,0,1,0,1,0,0,0,0,0,0,1
-8.178925405440 s,0,0,1,0,0,1,0,0,0,0,0,1
-8.177925414240 s,0,0,1,1,0,1,0,0,0,0,0,1
-8.176925423840 s,1,0,0,1,0,1,0,0,0,0,0,1
-8.175925432560 s,0,0,1,1,1,0,0,0,0,0,0,1
-8.174925442240 s,0,0,0,1,0,0,0,0,0,0,0,1
-8.173925450000 s,0,1,1,1,0,1,1,1,1,1,1,0
-8.172925459600 s,0,0,0,0,1,0,1,1,1,1,1,0
-8.171925468560 s,1,0,1,1,0,1,0,1,1,1,1,0
-8.170925477840 s,0,1,0,0,1,0,0,1,1,1,1,0
-8.169925487040 s,0,0,0,1,1,1,1,0,1,1,1,0
-8.168925496400 s,1,0,0,1,0,1,1,0,1,1,1,0
-8.167925505360 s,0,0,1,0,0,1,1,0,1,1,1,0
-8.166925514240 s,1,1,1,0,0,1,1,0,1,1,1,0
-8.165925523200 s,1,0,1,0,1,1,1,0,1,1,1,0
-8.164925532400 s,0,1,1,1,0,0,0,1,1,1,1,0
-8.163925541520 s,1,1,0,1,0,1,0,1,1,1,1,0
-8.162925550720 s,0,0,1,1,0,0,1,1,1,1,1,0
-8.161925559680 s,0,0,1,1,0,1,1,1,1,1,1,0
-8.160925569600 s,0,1,1,0,0,0,0,0,0,0,0,1
-8.159925578560 s,1,1,0,1,1,0,0,0,0,0,0,1
-8.158925588000 s,0,0,0,1,0,1,0,0,0,0,0,1
-8.157925596880 s,1,1,0,1,0,1,0,0,0,0,0,1
-8.156925605920 s,0,1,1,0,0,1,0,0,0,0,0,1
-8.155925615120 s,0,1,1,0,1,0,0,0,0,0,0,1
-8.154925624480 s,0,0,0,0,0,0,0,0,0,0,0,1
-8.153925632720 s,1,1,0,0,0,1,1,1,1,1,1,0
-8.152925642080 s,1,1,0,0,0,0,1,1,1,1,1,0
-8.151925651200 s,1,1,0,0,0,1,0,1,1,1,1,0
-8.150925660320 s,1,1,1,0,0,0,0,1,1,1,1,0
-8.149925669360 s,0,0,0,0,1,1,1,0,1,1,1,0
-8.148925678480 s,0,1,1,0,0,1,1,0,1,1,1,0
-8.147925687600 s,0,0,1,0,0,1,1,0,1,1,1,0
-8.146925696720 s,0,0,1,1,0,1,1,0,1,1,1,0
-8.145925705440 s,0,1,1,1,1,1,1,0,1,1,1,0
-8.144925714880 s,0,0,0,1,1,0,0,1,1,1,1,0
-8.143925723840 s,0,1,1,0,1,1,0,1,1,1,1,0
-8.142925732960 s,0,0,0,1,1,0,1,1,1,1,1,0
-8.141925741760 s,1,1,1,0,1,1,1,1,1,1,1,0
-8.140925751920 s,1,1,1,1,0,0,0,0,0,0,0,1
-8.139925761360 s,1,0,0,0,0,1,0,0,0,0,0,1
-8.138925770080 s,0,0,1,1,0,1,0,0,0,0,0,1
-8.137925779120 s,1,1,0,1,0,1,0,0,0,0,0,1
-8.136925788560 s,0,0,0,0,0,1,0,0,0,0,0,1
-8.135925797680 s,1,0,1,1,0,0,0,0,0,0,0,1
-8.134925806000 s,1,1,0,0,1,1,1,1,1,1,1,0
-8.133925814960 s,1,1,1,0,1,0,1,1,1,1,1,0
-8.132925824160 s,0,0,1,0,1,1,0,1,1,1,1,0
-8.131925833440 s,0,0,0,1,1,0,0,1,1,1,1,0
-8.130925842240 s,1,1,0,1,1,1,1,0,1,1,1,0
-8.129925851600 s,0,0,1,1,0,1,1,0,1,1,1,0
-8.128925860880 s,0,0,1,0,0,1,1,0,1,1,1,0
-8.127925869840 s,0,1,1,0,0,1,1,0,1,1,1,0
-8.126925879280 s,1,0,0,0,1,1,1,0,1,1,1,0
-8.125925888400 s,0,1,0,1,0,0,0,1,1,1,1,0
-8.124925897440 s,1,0,1,0,0,1,0,1,1,1,1,0
-8.123925906240 s,0,1,1,0,0,0,1,1,1,1,1,0
-8.122925915360 s,1,0,1,0,0,1,1,1,1,1,1,0
-8.121925925280 s,1,0,0,0,0,0,0,0,0,0,0,1
-8.120925934160 s,0,1,1,0,1,0,0,0,0,0,0,1
-8.119925943280 s,0,1,1,0,0,1,0,0,0,0,0,1
-8.118925952480 s,1,0,1,1,0,1,0,0,0,0,0,1
-8.117925961680 s,1,1,1,0,0,1,0,0,0,0,0,1
-8.116925970560 s,0,1,0,1,1,0,0,0,0,0,0,1
-8.115925979920 s,1,0,1,0,0,0,0,0,0,0,0,1
-8.114925988080 s,1,0,0,1,0,1,1,1,1,1,1,0
-8.113925997680 s,0,1,0,1,0,0,1,1,1,1,1,0
-8.112926006880 s,1,0,0,1,0,1,0,1,1,1,1,0
-8.111926016000 s,0,1,1,1,0,0,0,1,1,1,1,0
-8.110926024640 s,0,1,1,0,1,1,1,0,1,1,1,0
-8.109926033920 s,1,1,1,0,0,1,1,0,1,1,1,0
-8.108926043360 s,1,1,0,0,0,1,1,0,1,1,1,0
-8.107926052320 s,1,0,0,1,0,1,1,0,1,1,1,0
-8.106926061280 s,0,1,0,1,1,1,1,0,1,1,1,0
-8.105926070800 s,1,1,0,0,1,0,0,1,1,1,1,0
-8.104926079360 s,0,1,1,1,0,1,0,1,1,1,1,0
-8.103926088640 s,0,1,0,0,1,0,1,1,1,1,1,0
-8.102926098080 s,0,0,0,0,1,1,1,1,1,1,1,0
-8.101926107600 s,1,0,0,1,0,0,0,0,0,0,0,1
-8.100926116480 s,1,1,1,1,1,0,0,0,0,0,0,1
-8.099926125600 s,1,1,1,0,0,1,0,0,0,0,0,1
-8.098926134560 s,0,1,0,1,0,1,0,0,0,0,0,1
-8.097926143760 s,0,0,1,0,0,1,0,0,0,0,0,1
-8.096926153440 s,1,0,0,0,1,0,0,0,0,0,0,1
-8.095926161360 s,0,1,0,1,1,1,1,1,1,1,1,0
-8.094926170560 s,0,0,1,1,1,0,1,1,1,1,1,0
-8.093926179760 s,0,1,0,1,1,1,0,1,1,1,1,0
-8.092926188960 s,0,1,1,1,1,0,0,1,1,1,1,0
-8.091926198560 s,0,0,1,0,0,0,0,1,1,1,1,0
-8.090926207120 s,0,1,1,1,0,1,1,0,1,1,1,0
-8.089926216720 s,1,1,0,0,0,1,1,0,1,1,1,0
-8.088926225680 s,1,0,1,0,0,1,1,0,1,1,1,0
-8.087926234320 s,0,1,1,1,0,1,1,0,1,1,1,0
-8.086926244080 s,1,1,0,0,0,0,0,1,1,1,1,0
-8.085926252720 s,0,1,1,1,1,0,0,1,1,1,1,0
-8.084926261840 s,1,1,0,1,1,1,0,1,1,1,1,0
-8.083926270960 s,1,0,1,1,1,0,1,1,1,1,1,0
-8.082926279920 s,0,0,1,1,1,1,1,1,1,1,1,0
-8.081926289760 s,0,1,0,0,1,0,0,0,0,0,0,1
-8.080926299040 s,0,0,1,0,0,1,0,0,0,0,0,1
