"Time","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
-8.191925188720 s,1,1,0,1,0,1,1,1,1,1,1,0
-8.190925198160 s,1,1,1,0,0,1,0,1,0,1,1,0
-8.189925207760 s,0,0,1,0,0,0,0,1,1,0,1,0
-8.188925216880 s,1,1,0,1,1,0,0,1,0,0,1,0
-8.187925226480 s,1,0,1,0,0,0,0,0,0,0,1,0
-8.186925235200 s,1,0,0,0,1,0,1,1,1,1,0,0
-8.185925244480 s,1,0,1,0,0,0,0,0,0,0,1,0
-8.184925253200 s,0,1,0,1,1,0,0,1,0,0,1,0
-8.183925262560 s,1,0,1,0,0,0,0,1,1,0,1,0
-8.182925271120 s,1,1,1,0,0,1,0,1,0,1,1,0
-8.181925280240 s,1,0,0,1,0,1,1,1,1,1,1,0
-8.180925289920 s,1,1,0,0,0,1,0,0,1,0,0,1
-8.179925298800 s,0,1,0,0,0,0,1,0,0,1,0,1
-8.178925308080 s,0,1,0,1,1,0,0,0,1,1,0,1
-8.177925316560 s,0,1,1,1,1,0,0,1,1,1,0,1
-8.176925325680 s,1,0,1,1,1,1,0,1,1,1,0,1
-8.175925335200 s,1,0,1,0,1,1,1,0,1,1,0,1
-8.174925344080 s,1,1,1,1,0,0,1,1,0,1,0,1
-8.173925353280 s,1,0,0,1,1,0,1,1,1,0,0,1
-8.172925362720 s,0,0,1,1,0,1,0,1,0,0,0,1
-8.171925371920 s,1,0,0,1,0,1,1,0,1,1,1,0
-8.170925380960 s,1,1,1,1,0,1,0,0,0,1,1,0
-8.169925390400 s,1,0,0,0,0,1,0,0,1,0,1,0
-8.168925399600 s,0,0,1,0,1,0,1,0,0,0,1,0
-8.167925408480 s,0,0,1,0,0,1,1,1,1,1,0,0
-8.166925417440 s,1,0,0,1,1,0,1,1,1,1,0,0
-8.165925426880 s,1,1,0,0,1,1,0,0,0,0,1,0
-8.164925435520 s,1,0,1,1,0,1,1,1,0,0,1,0
-8.163925444240 s,0,1,1,1,0,1,1,1,1,0,1,0
-8.162925454080 s,1,1,0,0,0,1,0,0,1,1,1,0
-8.161925463360 s,0,1,1,0,0,1,1,0,0,0,0,1
-8.160925472160 s,0,1,0,1,1,0,0,1,1,0,0,1
-8.159925481120 s,1,1,1,1,1,0,0,1,0,1,0,1
-8.158925490320 s,0,1,0,1,1,0,1,0,1,1,0,1
-8.157925499280 s,0,1,1,0,1,1,0,1,1,1,0,1
-8.156925508480 s,0,1,1,1,0,1,0,1,1,1,0,1
-8.155925517600 s,1,1,1,1,1,1,0,0,1,1,0,1
-8.154925526880 s,0,1,1,0,1,1,1,0,0,1,0,1
-8.153925536000 s,1,1,1,0,0,1,1,0,1,0,0,1
-8.152925545520 s,0,0,1,1,0,1,0,0,0,0,0,1
-8.151925554000 s,1,1,0,1,0,1,1,1,0,1,1,0
-8.150925563360 s,1,0,1,1,1,1,0,1,1,0,1,0
-8.149925572720 s,1,1,1,0,0,0,1,1,0,0,1,0
-8.148925582240 s,0,0,1,1,1,0,0,0,0,0,1,0
-8.147925590800 s,1,1,0,0,1,0,1,1,1,1,0,0
-8.146925600000 s,0,0,0,0,1,1,1,1,1,1,0,0
-8.145925609280 s,0,1,0,0,1,1,1,0,0,0,1,0
-8.144925618480 s,0,0,1,1,0,0,1,0,1,0,1,0
-8.143925627600 s,1,0,1,0,0,1,1,0,0,1,1,0
-8.142925636800 s,1,0,0,0,0,1,0,1,1,1,1,0
-8.141925646000 s,0,1,0,0,0,1,1,1,0,0,0,1
-8.140925655280 s,0,0,0,1,0,0,0,0,0,1,0,1
-8.139925663920 s,0,1,0,0,1,1,1,1,0,1,0,1
-8.138925673120 s,0,0,1,1,0,0,0,1,1,1,0,1
